threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.1,0.9884467265725289,0.32407407407407407,0.48811410459587956,0.8036296354730675,18,3212,1263,1540
0.11,0.9878048780487805,0.3290570878768441,0.49366479550922215,0.8036296354730675,19,3138,1337,1539
0.12,0.9852374839537869,0.3327552568827227,0.4974882514989467,0.8036296354730675,23,3078,1397,1535
0.13,0.9839537869062901,0.33699714222906135,0.5020468315048305,0.8036296354730675,25,3016,1459,1533
0.14,0.982028241335045,0.3399244612308376,0.505033833966001,0.8036296354730675,28,2971,1504,1530
0.15,0.9813863928112966,0.3425179211469534,0.5078047160411824,0.8036296354730675,29,2935,1540,1529
0.16,0.9801026957637997,0.34500677812923636,0.5103609625668449,0.8036296354730675,31,2899,1576,1527
0.17,0.978818998716303,0.3476972184222526,0.5131224764468372,0.8036296354730675,33,2861,1614,1525
0.18,0.9775353016688062,0.3515697137580794,0.5171477079796265,0.8036296354730675,35,2809,1666,1523
0.19,0.9762516046213093,0.3543802423112768,0.52,0.8036296354730675,37,2771,1704,1521
0.2,0.9749679075738126,0.3574117647058824,0.5230716253443526,0.8036296354730675,39,2731,1744,1519
0.21,0.9736842105263158,0.36058949370097454,0.5262792714657415,0.8036296354730675,41,2690,1785,1517
0.22,0.9711168164313222,0.36256889527917563,0.5280055836677717,0.8036296354730675,45,2660,1815,1513
0.23,0.9679075738125802,0.3646034816247582,0.5296803652968036,0.8036296354730675,50,2628,1847,1508
0.24,0.9646983311938383,0.367032967032967,0.5317530514770918,0.8036296354730675,55,2592,1883,1503
0.25,0.9614890885750963,0.3695115934879132,0.533856022808268,0.8036296354730675,60,2556,1919,1498
0.26,0.9576379974326059,0.37188434695912265,0.5357271095152604,0.8036296354730675,66,2520,1955,1492
0.27,0.9531450577663672,0.3743382908999244,0.5375565610859728,0.8036296354730675,73,2482,1993,1485
0.28,0.9525032092426188,0.37684103605891317,0.5400291120815138,0.8036296354730675,74,2454,2021,1484
0.29,0.9512195121951219,0.3794162826420891,0.5424597364568082,0.8036296354730675,76,2424,2051,1482
0.3,0.9467265725288831,0.38064516129032255,0.5429780968157556,0.8036296354730675,83,2400,2075,1475
0.31,0.9441591784338896,0.38317270122427716,0.5451176579581248,0.8036296354730675,87,2368,2107,1471
0.32,0.9435173299101413,0.3859280651089525,0.5477920626048072,0.8036296354730675,88,2339,2136,1470
0.33,0.9409499358151476,0.38958277969705024,0.55102424356324,0.8036296354730675,92,2297,2178,1466
0.34,0.9358151476251605,0.3911993560504427,0.5517502365184485,0.8036296354730675,100,2269,2206,1458
0.35,0.9338896020539152,0.3953804347826087,0.5555555555555556,0.8036296354730675,103,2225,2250,1455
0.36,0.9300385109114249,0.39774910787812245,0.5572005383580081,0.8036296354730675,109,2194,2281,1449
0.37,0.9255455712451861,0.4006668519033065,0.5592398681403917,0.8036296354730675,116,2157,2318,1442
0.38,0.9191270860077022,0.4030396847734309,0.5603600078262571,0.8036296354730675,126,2121,2354,1432
0.39,0.9114249037227214,0.4047890535917902,0.5606000789577577,0.8036296354730675,138,2088,2387,1420
0.4,0.9037227214377407,0.4061147966541679,0.5603980099502488,0.8036296354730675,150,2059,2416,1408
0.41,0.8973042362002568,0.409011117612639,0.5618971061093248,0.8036296354730675,160,2020,2455,1398
0.42,0.8889602053915276,0.41097922848664686,0.5620941558441559,0.8036296354730675,173,1985,2490,1385
0.43,0.8851091142490373,0.4154865923470925,0.565511584990773,0.8036296354730675,179,1940,2535,1379
0.44,0.8786906290115533,0.41891064871481026,0.567343555739743,0.8036296354730675,189,1899,2576,1369
0.45,0.8703465982028241,0.42020452432599936,0.5667711598746081,0.8036296354730675,202,1871,2604,1356
0.46,0.8626444159178434,0.42410855159356264,0.5686481912418024,0.8036296354730675,214,1825,2650,1344
0.47,0.8568677792041078,0.42610916054899456,0.5691750159880622,0.8036296354730675,223,1798,2677,1335
0.48,0.8453145057766367,0.4284320104098894,0.5686528497409327,0.8036296354730675,241,1757,2718,1317
0.49,0.8356867779204108,0.4299867899603699,0.5678150894025294,0.8036296354730675,256,1726,2749,1302
0.5,0.8292682926829268,0.43312101910828027,0.5690376569037657,0.8036296354730675,266,1691,2784,1292
0.51,0.8183568677792041,0.43739279588336194,0.5700871898054997,0.8036296354730675,283,1640,2835,1275
0.52,0.8029525032092426,0.43971880492091386,0.5682489211900976,0.8036296354730675,307,1594,2881,1251
0.53,0.7913992297817715,0.44288793103448276,0.5679410409949333,0.8036296354730675,325,1551,2924,1233
0.54,0.7817715019255456,0.44680851063829785,0.5686274509803921,0.8036296354730675,340,1508,2967,1218
0.55,0.766367137355584,0.4514177693761815,0.5681655960028551,0.8036296354730675,364,1451,3024,1194
0.56,0.7541720154043645,0.4566653711620676,0.5688695231178892,0.8036296354730675,383,1398,3077,1175
0.57,0.7426187419768935,0.465032154340836,0.5719228868017795,0.8036296354730675,401,1331,3144,1157
0.58,0.730423620025674,0.47259136212624586,0.5738779626828038,0.8036296354730675,420,1270,3205,1138
0.59,0.7118100128369704,0.47946389969736275,0.5729785585120124,0.8036296354730675,449,1204,3271,1109
0.6,0.6829268292682927,0.48319709355131696,0.5659574468085107,0.8036296354730675,494,1138,3337,1064
0.61,0.6643132220795892,0.4926225606853879,0.5657283410767969,0.8036296354730675,523,1066,3409,1035
0.62,0.641206675224647,0.5020100502512563,0.5631341600901917,0.8036296354730675,559,991,3484,999
0.63,0.6129653401797176,0.5096051227321238,0.5565268065268065,0.8036296354730675,603,919,3556,955
0.64,0.5885750962772786,0.5201361315938741,0.5522433002107798,0.8036296354730675,641,846,3629,917
0.65,0.5596919127086007,0.5284848484848484,0.543640897755611,0.8036296354730675,686,778,3697,872
0.66,0.5333761232349166,0.5431372549019607,0.5382124352331606,0.8036296354730675,727,699,3776,831
0.67,0.4980744544287548,0.5507452093683464,0.523087293562521,0.8036296354730675,782,633,3842,776
0.68,0.4711168164313222,0.5620214395099541,0.5125698324022346,0.8036296354730675,824,572,3903,734
0.69,0.44223363286264444,0.570364238410596,0.4981923355025307,0.8036296354730675,869,519,3956,689
0.7,0.4127086007702182,0.5819004524886878,0.482914006759294,0.8036296354730675,915,462,4013,643
0.71,0.37869062901155326,0.5923694779116466,0.4620203602192639,0.8036296354730675,968,406,4069,590
0.72,0.34210526315789475,0.5982042648709316,0.43527970600245,0.8036296354730675,1025,358,4117,533
0.73,0.30937098844672656,0.6040100250626567,0.4091680814940577,0.8036296354730675,1076,316,4159,482
0.74,0.2734274711168164,0.6138328530259366,0.3783303730017762,0.8036296354730675,1132,268,4207,426
0.75,0.24390243902439024,0.6229508196721312,0.3505535055350554,0.8036296354730675,1178,230,4245,380
0.76,0.21501925545571246,0.6332703213610587,0.3210349784379492,0.8036296354730675,1223,194,4281,335
0.77,0.18806161745827984,0.6369565217391304,0.29038652130822595,0.8036296354730675,1265,167,4308,293
0.78,0.16238767650834404,0.6537467700258398,0.2601542416452442,0.8036296354730675,1305,134,4341,253
0.79,0.14120667522464697,0.6666666666666666,0.2330508474576271,0.8036296354730675,1338,110,4365,220
0.8,0.11810012836970475,0.6764705882352942,0.2010928961748634,0.8036296354730675,1374,88,4387,184
0.81,0.0982028241335045,0.68,0.17162086371284352,0.8036296354730675,1405,72,4403,153
0.82,0.07958921694480103,0.6813186813186813,0.1425287356321839,0.8036296354730675,1434,58,4417,124
