threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.1,0.9975339087546239,0.1709636517328825,0.29189969330687354,0.8121739996911482,2,3923,1299,809
0.11,0.9963008631319359,0.17376344086021506,0.2959164988097418,0.8121739996911482,3,3842,1380,808
0.12,0.9950678175092479,0.17631636443084991,0.29955456570155903,0.8121739996911482,4,3770,1452,807
0.13,0.9950678175092479,0.17861885790172644,0.30287108275473823,0.8121739996911482,4,3711,1511,807
0.14,0.9950678175092479,0.18163403106009454,0.3071945184621241,0.8121739996911482,4,3636,1586,807
0.15,0.9876695437731196,0.1832532601235415,0.30914704747201854,0.8121739996911482,10,3570,1652,801
0.16,0.9876695437731196,0.18550254747568318,0.3123415870540066,0.8121739996911482,10,3517,1705,801
0.17,0.9852034525277436,0.18786738772631084,0.3155608214849921,0.8121739996911482,12,3454,1768,799
0.18,0.9827373612823674,0.19035108669691903,0.31892757102841135,0.8121739996911482,14,3390,1832,797
0.19,0.9790382244143033,0.19220527717259744,0.3213273978146499,0.8121739996911482,17,3337,1885,794
0.2,0.9778051787916153,0.19488817891373802,0.325,0.8121739996911482,18,3276,1946,793
0.21,0.9778051787916153,0.19692078470325305,0.3278214138073584,0.8121739996911482,18,3234,1988,793
0.22,0.9765721331689272,0.19914508423434749,0.3308270676691729,0.8121739996911482,19,3185,2037,792
0.23,0.9741060419235512,0.20168496298187388,0.33417935702199664,0.8121739996911482,21,3127,2095,790
0.24,0.969173859432799,0.2033635187580854,0.3361847733105218,0.8121739996911482,25,3079,2143,786
0.25,0.969173859432799,0.20602883355176932,0.3398184176394293,0.8121739996911482,25,3029,2193,786
0.26,0.966707768187423,0.2079024131530098,0.3422086425141859,0.8121739996911482,27,2987,2235,784
0.27,0.9630086313193588,0.20977706150953532,0.34450816056462286,0.8121739996911482,30,2942,2280,781
0.28,0.9617755856966708,0.21218715995647444,0.3476710496991308,0.8121739996911482,31,2896,2326,780
0.29,0.9580764488286067,0.2142266335814723,0.3501577287066246,0.8121739996911482,34,2850,2372,777
0.3,0.9531442663378545,0.21592178770949721,0.3520838077886586,0.8121739996911482,38,2807,2415,773
0.31,0.9469790382244143,0.21762538962879002,0.35391705069124424,0.8121739996911482,43,2761,2461,768
0.32,0.9469790382244143,0.22043628013777267,0.35762514551804425,0.8121739996911482,43,2716,2506,768
0.33,0.9408138101109741,0.22193135543920883,0.35914332784184516,0.8121739996911482,48,2675,2547,763
0.34,0.938347718865598,0.22455001475361464,0.36238095238095236,0.8121739996911482,50,2628,2594,761
0.35,0.9346485819975339,0.22701407607067983,0.3653012048192771,0.8121739996911482,53,2581,2641,758
0.36,0.9297163995067818,0.22890103217972071,0.36735688185140075,0.8121739996911482,57,2540,2682,754
0.37,0.9247842170160296,0.2311960542540074,0.36991368680641185,0.8121739996911482,61,2494,2728,750
0.38,0.9161528976572133,0.23262366938008766,0.3710362047440699,0.8121739996911482,68,2451,2771,743
0.39,0.905055487053021,0.23353483932548522,0.3712696004046535,0.8121739996911482,77,2409,2813,734
0.4,0.8988902589395807,0.23622812702527543,0.3741339491916859,0.8121739996911482,82,2357,2865,729
0.41,0.8951911220715166,0.23936696340257171,0.3777315296566077,0.8121739996911482,85,2307,2915,726
0.42,0.8902589395807645,0.24236320913058074,0.38100263852242744,0.8121739996911482,89,2257,2965,722
