threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.43,0.8865598027127004,0.24505794137695977,0.38397863818424566,0.8121739996911482,92,2215,3007,719
0.44,0.8803945745992602,0.24748700173310226,0.38636363636363635,0.8121739996911482,97,2171,3051,714
0.45,0.8680641183723797,0.24885118416401555,0.3868131868131868,0.8121739996911482,107,2125,3097,704
0.46,0.8618988902589396,0.2523465703971119,0.3903937447640324,0.8121739996911482,112,2071,3151,699
0.47,0.8495684340320592,0.25443131462333823,0.3915885194657573,0.8121739996911482,122,2019,3203,689
0.48,0.8384710234278668,0.256797583081571,0.39317721884937845,0.8121739996911482,131,1968,3254,680
0.49,0.8286066584463625,0.26046511627906976,0.3963432615747567,0.8121739996911482,139,1908,3314,672
0.5,0.815043156596794,0.2639776357827476,0.3987933634992459,0.8121739996911482,150,1843,3379,661
0.51,0.8051787916152897,0.26894563426688634,0.4032108675517135,0.8121739996911482,158,1775,3447,653
0.52,0.7953144266337855,0.2752880921895006,0.409004438807863,0.8121739996911482,166,1698,3524,645
0.53,0.7792848335388409,0.27976980965028775,0.41172638436482084,0.8121739996911482,179,1627,3595,632
0.54,0.7694204685573366,0.2874251497005988,0.41851106639839036,0.8121739996911482,187,1547,3675,624
0.55,0.752157829839704,0.2920057443752992,0.4206896551724138,0.8121739996911482,201,1479,3743,610
0.56,0.7336621454993835,0.2985449071751129,0.4243937232524964,0.8121739996911482,216,1398,3824,595
0.57,0.7163995067817509,0.30371144798745425,0.4265785609397944,0.8121739996911482,230,1332,3890,581
0.58,0.688039457459926,0.30726872246696035,0.4248191853825657,0.8121739996911482,253,1258,3964,558
0.59,0.6695437731196054,0.31099656357388317,0.4247164646069613,0.8121739996911482,268,1203,4019,543
0.6,0.6424167694204685,0.3176829268292683,0.42513259893920846,0.8121739996911482,290,1119,4103,521
0.61,0.6029593094944513,0.3240556660039761,0.421551724137931,0.8121739996911482,322,1020,4202,489
0.62,0.5696670776818742,0.3311827956989247,0.4188576609247507,0.8121739996911482,349,933,4289,462
0.63,0.5425400739827374,0.34294621979734996,0.42024832855778416,0.8121739996911482,371,843,4379,440
0.64,0.5191122071516646,0.35141903171953254,0.41911398705823794,0.8121739996911482,390,777,4445,421
0.65,0.4956843403205919,0.3664539653600729,0.42138364779874216,0.8121739996911482,409,695,4527,402
0.66,0.468557336621455,0.3822937625754527,0.42105263157894735,0.8121739996911482,431,614,4608,380
0.67,0.4352651048088779,0.3879120879120879,0.41022661243463104,0.8121739996911482,458,557,4665,353
0.68,0.41430332922318125,0.40047675804529204,0.4072727272727273,0.8121739996911482,475,503,4719,336
0.69,0.3908754623921085,0.40797940797940796,0.3992443324937028,0.8121739996911482,494,460,4762,317
0.7,0.3649815043156597,0.41514726507713884,0.3884514435695538,0.8121739996911482,515,417,4805,296
0.71,0.34278668310727495,0.4199395770392749,0.3774609640190088,0.8121739996911482,533,384,4838,278
0.72,0.31689272503082616,0.4370748299319728,0.3674052894924946,0.8121739996911482,554,331,4891,257
0.73,0.28606658446362515,0.44274809160305345,0.34756554307116105,0.8121739996911482,579,292,4930,232
0.74,0.2626387176325524,0.4541577825159915,0.3328125,0.8121739996911482,598,256,4966,213
0.75,0.2342786683107275,0.4481132075471698,0.3076923076923077,0.8121739996911482,621,234,4988,190
0.76,0.21948212083847102,0.47214854111405835,0.2996632996632997,0.8121739996911482,633,199,5023,178
0.77,0.19112207151664612,0.47112462006079026,0.2719298245614035,0.8121739996911482,656,174,5048,155
0.78,0.16892725030826142,0.4724137931034483,0.2488646684831971,0.8121739996911482,674,153,5069,137
0.79,0.14180024660912455,0.46184738955823296,0.2169811320754717,0.8121739996911482,696,134,5088,115
0.8,0.12577065351418001,0.4927536231884058,0.20039292730844793,0.8121739996911482,709,105,5117,102
0.81,0.10974106041923551,0.5114942528735632,0.18071065989847715,0.8121739996911482,722,85,5137,89
0.82,0.09001233045622688,0.5251798561151079,0.15368421052631578,0.8121739996911482,738,66,5156,73
0.83,0.07398273736128237,0.5263157894736842,0.12972972972972974,0.8121739996911482,751,54,5168,60
0.84,0.06411837237977805,0.5416666666666666,0.11466372657111357,0.8121739996911482,759,44,5178,52
0.85,0.04438964241676942,0.5217391304347826,0.08181818181818182,0.8121739996911482,775,33,5189,36
0.86,0.036991368680641186,0.5357142857142857,0.06920415224913495,0.8121739996911482,781,26,5196,30
0.87,0.03329223181257707,0.574468085106383,0.06293706293706294,0.8121739996911482,784,20,5202,27
0.88,0.02342786683107275,0.5588235294117647,0.04497041420118343,0.8121739996911482,792,15,5207,19
0.89,0.01972872996300863,0.6153846153846154,0.038231780167264036,0.8121739996911482,795,10,5212,16
0.9,0.011097410604192354,0.5625,0.02176541717049577,0.8121739996911482,802,7,5215,9
