threshold,recall,precision,f1
0.3,0.8243451463790447,0.25046816479400746,0.38420107719928187
0.31,0.8073959938366718,0.25449247207382225,0.3870014771048744
0.32,0.7996918335901386,0.25911133300049927,0.3914027149321267
0.33,0.7796610169491526,0.2601542416452442,0.39013107170393213
0.34,0.765793528505393,0.26464323748668794,0.39335180055401664
0.35,0.7503852080123267,0.27040533037201553,0.39755102040816326
0.36,0.736517719568567,0.2743972445464983,0.3998327059807612
0.37,0.7134052388289677,0.2789156626506024,0.4010394110004331
0.38,0.6964560862865947,0.28607594936708863,0.4055630327501122
0.39,0.6656394453004623,0.29012760241773,0.40411599625818523
0.4,0.6440677966101694,0.29582448690728946,0.40543161978661496
0.41,0.6163328197226502,0.29985007496251875,0.40342914775592537
0.42,0.5839753466872111,0.3007936507936508,0.39706652697747513
0.43,0.559322033898305,0.30529857022708157,0.39499455930359084
0.44,0.5346687211093991,0.3070796460176991,0.3901068015739179
0.45,0.514637904468413,0.31127679403541475,0.3879210220673635
0.46,0.4946070878274268,0.3165680473372781,0.38604930847865304
0.47,0.46533127889060094,0.3172268907563025,0.37726420986883197
0.48,0.44838212634822805,0.3247767857142857,0.3766990291262136
0.49,0.4221879815100154,0.32735961768219835,0.36877523553162855
0.5,0.40061633281972264,0.3385416666666667,0.3669724770642202
0.51,0.37750385208012327,0.3412256267409471,0.3584491587417703
0.52,0.3436055469953775,0.34150076569678406,0.3425499231950845
0.53,0.3220338983050847,0.34206219312602293,0.33174603174603173
0.54,0.29738058551617874,0.3483754512635379,0.32086450540315875
0.55,0.2773497688751926,0.36511156186612576,0.31523642732049034
0.56,0.2526964560862866,0.36525612472160357,0.2987249544626594
0.57,0.23728813559322035,0.3684210526315789,0.28865979381443296
0.58,0.21417565485362094,0.38082191780821917,0.27416173570019725
0.59,0.1987673343605547,0.38622754491017963,0.2624618514750763
0.6,0.17873651771956856,0.38926174496644295,0.24498416050686378
0.61,0.15870570107858242,0.3946360153256705,0.22637362637362637
0.62,0.1325115562403698,0.3706896551724138,0.1952326901248581
0.63,0.1263482280431433,0.3923444976076555,0.19114219114219114
0.64,0.10939907550077041,0.39664804469273746,0.17149758454106281
0.65,0.1016949152542373,0.41509433962264153,0.16336633663366337
0.66,0.09553158705701079,0.4217687074829932,0.15577889447236182
0.67,0.09090909090909091,0.44360902255639095,0.15089514066496162
0.68,0.07858243451463791,0.4322033898305085,0.13298565840938723
0.69,0.0724191063174114,0.47,0.12550066755674233
0.7,0.06471494607087827,0.4827586206896552,0.11413043478260869
