fold,auc,recall,precision,f1,best_iter,scale_pos_weight
1,0.8172570850202429,0.3,0.46987951807228917,0.36619718309859156,20,6.4374
2,0.8016811320054894,0.4806201550387597,0.3463687150837989,0.4025974025974026,23,6.425
3,0.7904191616766467,0.5153846153846153,0.32367149758454106,0.39762611275964393,26,6.4393
4,0.8103270382312299,0.7076923076923077,0.3076923076923077,0.4289044289044289,55,6.4393
5,0.7998940580377706,0.0,0.0,0.0,12,6.4393
