fold,auc,recall,precision,f1,best_iter,class_weight_pos
1,0.857722688313697,0.8104089219330854,0.5202863961813843,0.6337209302325582,57,2.5907
2,0.8540038330585238,0.8432835820895522,0.517162471395881,0.6411347517730497,78,2.5883
3,0.866219074477631,0.8847583643122676,0.5446224256292906,0.6742209631728046,57,2.5916
4,0.8477705849677393,0.8029739776951673,0.5242718446601942,0.6343612334801763,57,2.5916
5,0.8621250480707601,0.8550185873605948,0.5111111111111111,0.6397774687065368,53,2.5916
