threshold,recall,precision,f1
0.3,0.9441964285714286,0.45031937544357703,0.6098029793368572
0.31,0.9427083333333334,0.45461069250089703,0.6134107964173323
0.32,0.9412202380952381,0.4588320638375045,0.6169227017800536
0.33,0.9389880952380952,0.46244045437889336,0.6196906457156887
0.34,0.9345238095238095,0.4641537324464154,0.6202469135802469
0.35,0.9315476190476191,0.46926536731634183,0.6241276171485544
0.36,0.9285714285714286,0.47362428842504745,0.6272932897712993
0.37,0.9248511904761905,0.47752593161736456,0.6298454522422092
0.38,0.9174107142857143,0.47976653696498056,0.6300459887583035
0.39,0.9099702380952381,0.4830173775671406,0.631062951496388
0.4,0.9069940476190477,0.48740503798480606,0.6340702210663199
0.41,0.9025297619047619,0.4902991107518189,0.6354112100576218
0.42,0.8980654761904762,0.4930555555555556,0.6366033755274262
0.43,0.8936011904761905,0.49669148056244833,0.6384901648059543
0.44,0.8839285714285714,0.4976958525345622,0.6368265880461003
0.45,0.8764880952380952,0.5010633772862612,0.637618403247632
0.46,0.8727678571428571,0.5051679586563308,0.6399345335515548
0.47,0.8630952380952381,0.5087719298245614,0.6401766004415012
0.48,0.8586309523809523,0.5158694680375503,0.6445127059480592
0.49,0.8534226190476191,0.5199456029011786,0.6461971830985915
0.5,0.8392857142857143,0.5234338747099768,0.6447556444698486
0.51,0.8325892857142857,0.5275813295615276,0.6458874458874458
0.52,0.8266369047619048,0.5318334131163236,0.647247305563647
0.53,0.8169642857142857,0.535609756097561,0.6470241602828521
0.54,0.8087797619047619,0.5418743768693918,0.648955223880597
0.55,0.7998511904761905,0.5504352278545827,0.6521079769487412
0.56,0.7857142857142857,0.5531691985332635,0.6492468490624039
0.57,0.7767857142857143,0.5585874799357945,0.6498599439775911
0.58,0.7626488095238095,0.5616438356164384,0.6468917639633954
0.59,0.7477678571428571,0.5652418447694039,0.643818065342729
0.6,0.7306547619047619,0.5739333722969024,0.6428805237315875
0.61,0.7105654761904762,0.5791388720436629,0.6381556966254595
0.62,0.6971726190476191,0.5863579474342928,0.636981645139361
0.63,0.6763392857142857,0.5910273081924577,0.6308119361554476
0.64,0.6614583333333334,0.598250336473755,0.6282685512367491
0.65,0.6488095238095238,0.611072179397337,0.6293756766510286
0.66,0.6316964285714286,0.6206140350877193,0.6261061946902655
0.67,0.6130952380952381,0.6319018404907976,0.622356495468278
0.68,0.5863095238095238,0.635483870967742,0.6099071207430341
0.69,0.5632440476190477,0.6464560204953032,0.6019880715705765
0.7,0.5461309523809523,0.6588868940754039,0.597233523189585
