feature,importance
나이,52.40914100045827
BMI,24.343867164478535
고혈압가족력_모,6.347101170115401
고혈압가족력_부,4.6089290245130305
고혈압가족력_형제,3.6971590832963193
음주량_enc,2.352067166529952
체중,1.159704565403534
키,0.8232861371093059
고지혈증가족력_모,0.6781938632637826
성별,0.6378962329877421
걷기일수,0.6202604053493502
당뇨가족력_부,0.4786324935883677
음주빈도_enc,0.38880067632482734
근력운동일수,0.36375969864694624
당뇨가족력_형제,0.34402431013273355
당뇨가족력_모,0.2917739018347588
고지혈증가족력_부,0.18476756144589487
과거음주_현재금주,0.16769533229575687
현재흡연,0.10294021222549404
고지혈증가족력_형제,0.0
