feature,importance
나이,303.6
체중,272.6
BMI,270.8
키,217.0
고혈압가족력_모,99.6
음주량_enc,86.8
걷기일수,81.8
고혈압가족력_부,67.2
음주빈도_enc,63.8
고혈압가족력_형제,51.4
근력운동일수,46.2
직업_무직,26.6
성별,25.4
당뇨가족력_형제,25.0
직업_주부학생,20.2
당뇨가족력_부,17.4
당뇨가족력_모,15.2
직업_관리전문,13.4
직업_서비스판매,12.0
직업_사무,11.4
고지혈증가족력_모,10.6
직업_기능노무,9.0
직업_농림어업,8.8
고지혈증가족력_형제,7.8
현재흡연,7.0
직업_작업미상,6.6
과거음주_현재금주,6.0
고지혈증가족력_부,4.8
