fold,auc,recall,precision,f1,best_iter,scale_pos_weight
1,0.8460895616524756,0.8318407960199005,0.5745704467353951,0.6796747967479675,54,2.1051
2,0.859196213822091,0.835820895522388,0.5853658536585366,0.6885245901639344,100,2.1051
3,0.8598734202263791,0.8316733067729084,0.5859649122807018,0.6875257307533965,75,2.1045
4,0.8519882155389793,0.8117529880478087,0.5833929849677881,0.6788837984173262,91,2.1045
5,0.8552676710377035,0.8336653386454184,0.5682281059063137,0.6758175211949939,74,2.1045
