feature,importance
나이,40.947586272669454
BMI,15.772620864155119
고혈압가족력_모,5.542757784874132
음주량_enc,3.911738006124502
키,3.7756504518691676
고혈압가족력_형제,3.6648105047169
걷기일수,3.577867585941864
음주빈도_enc,3.3955379165048303
고혈압가족력_부,3.2446241468473427
체중,2.95773209681606
근력운동일수,2.7928512598730237
고지혈증가족력_모,1.1583176190630797
직업_무직,0.8709259907581072
당뇨가족력_부,0.8534180127876748
고지혈증가족력_부,0.8096368035465804
직업_서비스판매,0.7832311827777106
성별,0.7692868940554727
당뇨가족력_형제,0.7165911576853766
직업_관리전문,0.660541365454913
직업_사무,0.6169243035733813
직업_주부학생,0.5783305285112718
고지혈증가족력_형제,0.5396103398805007
당뇨가족력_모,0.4573149739889361
직업_기능노무,0.4146415338878207
과거음주_현재금주,0.40962502027708
직업_농림어업,0.3842783659603086
현재흡연,0.22950761337528594
직업_작업미상,0.16404140402410716
