fold,auc,f1,recall,best_iter
1,0.850225179049806,0.6459770114942529,0.8363095238095238,129
2,0.853801049696572,0.629418472063854,0.8214285714285714,72
3,0.8757927395987096,0.6839622641509434,0.8630952380952381,94
4,0.8281540777230432,0.608,0.7916666666666666,124
5,0.8855073207443898,0.6706443914081146,0.8363095238095238,141
