fold,auc,f1,recall,best_iter
1,0.8082975218450079,0.5646036916395223,0.8333333333333334,207
2,0.7933068328319727,0.5685071574642127,0.8910256410256411,27
3,0.7966319295229909,0.5529865125240848,0.9198717948717948,15
4,0.8199177279994252,0.5599194360523666,0.8938906752411575,39
5,0.7904165693653559,0.555205047318612,0.8488745980707395,51
