threshold,recall,precision,f1
0.3,0.9310252281266774,0.36916037033095667,0.5286900861083593
0.31,0.9269994632313473,0.37215817261071005,0.53109863919428
0.32,0.9235104669887279,0.37516354121238554,0.533571096293999
0.33,0.9186795491143317,0.37810670495968185,0.5357226700054777
0.34,0.9138486312399355,0.38108561835478455,0.5378722059868889
0.35,0.9100912506709609,0.3847288404810529,0.540829346092504
0.36,0.9057971014492754,0.3874411663414074,0.5427353863471899
0.37,0.8998926462694579,0.3901559227367931,0.5443181818181818
0.38,0.8918411164787976,0.39227954196670994,0.5448880872345658
0.39,0.8851315083199142,0.39445042459036,0.5457102672292545
0.4,0.8778851315083199,0.39778669585309495,0.5474935141015984
0.41,0.8711755233494364,0.4008892182289737,0.5490992133976148
0.42,0.8623188405797102,0.40384615384615385,0.5500770416024653
0.43,0.8531937734836286,0.4068859592986049,0.5510009532888466
0.44,0.8459473966720343,0.4099362725972168,0.5522558037669733
0.45,0.8392377885131508,0.4141721854304636,0.5546293011706279
0.46,0.83064949006978,0.4179608372721134,0.5561045728146617
0.47,0.821256038647343,0.4217199558985667,0.5572755417956656
0.48,0.8105206655931294,0.4262526464361327,0.5586902229210989
0.49,0.8016639828234031,0.43102453102453103,0.5606231231231231
0.5,0.7936124530327429,0.43542924458842586,0.5623276599790815
0.51,0.7793880837359098,0.440200090950432,0.5626271432723046
0.52,0.7670424047235641,0.4454488778054863,0.5635969236836916
0.53,0.7557702630166399,0.44962478045665016,0.5638202022224447
0.54,0.7420826623725174,0.45379944198260297,0.5631938079234138
0.55,0.7254428341384863,0.45805795627859686,0.5615456528513556
0.56,0.7088030059044552,0.4634959634959635,0.5604838709677419
0.57,0.6918947933440687,0.4682164911006175,0.5584922010398613
0.58,0.6744498121309715,0.4748677248677249,0.5573297848746951
0.59,0.6588835212023618,0.4818449460255152,0.556626232853418
0.6,0.6387546967257112,0.4879048790487905,0.5532310553231056
0.61,0.6207729468599034,0.49423076923076925,0.550321199143469
0.62,0.5984970477724101,0.5029318899413622,0.5465686274509803
0.63,0.5759527643585615,0.5099809885931559,0.5409629442903958
0.64,0.5517981749865808,0.5181451612903226,0.5344424226670133
0.65,0.5324745034889963,0.5286437516653344,0.5305522128626822
0.66,0.5050993022007515,0.538021726700972,0.5210409745293466
0.67,0.4841653247450349,0.5481616529930112,0.5141798489382927
0.68,0.4632313472893183,0.5560567010309279,0.5054172767203514
0.69,0.4420289855072464,0.5646211861501542,0.4958603040794822
0.7,0.4232420826623725,0.5763888888888888,0.48808418446301455
