feature,importance
BMI,472.4
나이,428.0
체중,414.6
키,332.2
걷기일수,139.0
당뇨가족력_모,127.0
음주량,125.4
당뇨가족력_부,118.6
음주빈도,99.8
당뇨가족력_형제,95.4
성별,67.6
근력운동일수,67.0
현재흡연,65.6
고지혈증가족력_형제,63.2
고지혈증가족력_모,60.8
고혈압가족력_모,48.2
고혈압가족력_형제,48.0
직업_무직,43.2
직업_관리전문,39.2
고혈압가족력_부,35.6
직업_사무,29.6
고지혈증가족력_부,27.0
직업_서비스판매,23.0
직업_기능노무,15.8
직업_주부학생,14.8
직업_농림어업,11.0
직업_작업미상,0.0
