threshold,recall,precision,f1
0.3,0.9101123595505618,0.3932038834951456,0.5491525423728814
0.31,0.8996789727126806,0.3993587459921625,0.5531704909943251
0.32,0.8900481540930979,0.40239477503628446,0.5542228885557221
0.33,0.8723916532905297,0.40726863994005247,0.5553001277139208
0.34,0.8587479935794543,0.41296796603627944,0.5577273911910346
0.35,0.8418940609951846,0.41561014263074486,0.556498673740053
0.36,0.8314606741573034,0.42268461852305184,0.5604544225047335
0.37,0.8170144462279294,0.4306260575296108,0.56398891966759
0.38,0.8025682182985554,0.4357298474945534,0.5648121999435188
0.39,0.78330658105939,0.43766816143497755,0.5615650172612198
0.4,0.7584269662921348,0.44345377756921633,0.5596683446846313
0.41,0.7279293739967897,0.44526264113892977,0.5525434054218702
0.42,0.6982343499197432,0.4473007712082262,0.5452836101535569
0.43,0.6797752808988764,0.45586652314316467,0.5457474226804123
0.44,0.6428571428571429,0.4600804135554279,0.5363240709742216
0.45,0.6067415730337079,0.4606946983546618,0.5237270523034292
0.46,0.5778491171749599,0.46511627906976744,0.5153901216893343
0.47,0.5481540930979133,0.4652588555858311,0.5033161385408991
0.48,0.5256821829855538,0.46619217081850534,0.4941531497548095
0.49,0.5064205457463884,0.47124719940253923,0.4882011605415861
0.5,0.48796147672552165,0.4735202492211838,0.4806324110671937
0.51,0.4695024077046549,0.4740680713128039,0.4717741935483871
0.52,0.45264847512038525,0.47157190635451507,0.4619164619164619
0.53,0.4333868378812199,0.4753521126760563,0.4534005037783375
0.54,0.41412520064205455,0.47601476014760147,0.4429184549356223
0.55,0.40369181380417335,0.47904761904761906,0.4381533101045296
0.56,0.391653290529695,0.4836471754212091,0.4328159645232816
0.57,0.38202247191011235,0.4882051282051282,0.42863574966231427
0.58,0.36757624398073835,0.4946004319654428,0.42173112338858193
0.59,0.3539325842696629,0.49943374858437145,0.41427900422733677
0.6,0.3402889245585875,0.507177033492823,0.40730067243035545
0.61,0.32825040128410915,0.5144654088050314,0.40078392944634983
0.62,0.3130016051364366,0.5241935483870968,0.39195979899497485
0.63,0.2985553772070626,0.5284090909090909,0.38153846153846155
0.64,0.28731942215088285,0.533532041728763,0.3735002608242045
0.65,0.27608346709470305,0.5383411580594679,0.3649867374005305
0.66,0.25842696629213485,0.5411764705882353,0.34980988593155893
0.67,0.24719101123595505,0.5509838998211091,0.3412742382271468
0.68,0.2375601926163724,0.556390977443609,0.3329583802024747
0.69,0.22150882825040127,0.5667351129363449,0.31852279284477786
0.7,0.20545746388443017,0.5727069351230425,0.3024217365623154
