number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
29,0.8049782032858234,2026-05-15 01:08:57.293091,2026-05-15 01:08:57.702869,0 days 00:00:00.409778,0.7419048274947364,49,4,637,0.1703058761289881,0.1295230738953832,0.004485009178086933,COMPLETE
30,0.7999520429785585,2026-05-15 01:08:57.703112,2026-05-15 01:08:58.231025,0 days 00:00:00.527913,0.8182137813988873,36,5,434,0.070450314654144,0.04361822723172777,0.420965085941273,COMPLETE
31,0.8086159476104369,2026-05-15 01:08:58.231270,2026-05-15 01:08:58.923931,0 days 00:00:00.692661,0.6457610061846039,104,4,935,3.3072442764230345,0.05245581658301737,0.026979987468263685,COMPLETE
32,0.8081158345064818,2026-05-15 01:08:58.924180,2026-05-15 01:08:59.506139,0 days 00:00:00.581959,0.6758011708053525,81,4,902,4.945284929973566,0.0596059016869929,0.026777552009973546,COMPLETE
33,0.8077589313163835,2026-05-15 01:08:59.506369,2026-05-15 01:09:00.343962,0 days 00:00:00.837593,0.6292870160739885,77,4,910,5.292899852427535,0.029384943564780344,0.02285188185440608,COMPLETE
34,0.8074145427601427,2026-05-15 01:09:00.344262,2026-05-15 01:09:00.892950,0 days 00:00:00.548688,0.6849202119017148,106,4,938,9.591180542332994,0.06126001215179121,0.0073872024035897595,COMPLETE
35,0.7983499337196656,2026-05-15 01:09:00.893193,2026-05-15 01:09:01.520199,0 days 00:00:00.627006,0.47894762234600013,85,8,881,2.6016375516089822,0.04654184251641829,0.00893921936832294,COMPLETE
36,0.8053354606636722,2026-05-15 01:09:01.520429,2026-05-15 01:09:02.104882,0 days 00:00:00.584453,0.5622568956465666,112,4,794,4.574030642718953,0.05765936725352882,0.0022771687470312923,COMPLETE
37,0.8016043288354637,2026-05-15 01:09:02.105114,2026-05-15 01:09:02.624904,0 days 00:00:00.519790,0.3553872142362664,135,6,861,6.231872189479402,0.042553662207243194,0.02553704180287592,COMPLETE
38,0.798930211317857,2026-05-15 01:09:02.625136,2026-05-15 01:09:03.753020,0 days 00:00:01.127884,0.0233875359670363,166,7,948,2.2777746581027274,0.011500546201293888,0.06103880478708763,COMPLETE
39,0.8082686074896069,2026-05-15 01:09:03.753239,2026-05-15 01:09:04.265928,0 days 00:00:00.512689,0.4628201888614958,97,4,700,3.8062355996194346,0.0756601307012917,0.00539514028039564,COMPLETE
