food_name,serving_weight_g,energy_kcal,carbohydrate_g,sugar_g,fat_g,protein_g,calcium_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,trans_fat_g,dm_score,htn_score,dl_score,obe_score,anem_score
양배추구이,100.0,60.933,7.621,0.842,2.651,2.711,32.208,242.337,235.389,16.3,0.723,0.583,5.5,0.0,100.0,100.0,100.0,100.0,60.1
두부구이,100.0,90.671,1.527,0.0,6.267,9.411,127.722,164.39,97.264,0.4,1.544,1.018,0.0,0.0,100.0,100.0,100.0,100.0,71.0
삼치구이,200.0,355.7061,8.4753,0.0,18.009,37.827,103.7421,797.7096,909.3168,,2.7432,2.2167,156.87,0.0,100.0,100.0,96.3,100.0,94.9
가자미전,150.0,220.464,6.684,0.0,7.1235,29.9715,59.5965,814.374,495.9795,,1.293,0.909,226.875,0.0,100.0,94.7,89.8,100.0,78.7
굴전,100.0,192.81,13.922,0.0,9.067,12.563,95.58,331.021,254.425,23.81,3.302,10.214,123.0,0.0,100.0,100.0,99.3,100.0,94.4
동태전,150.0,265.2507,11.4772,0.0,16.1404,19.867,61.9905,672.9766,379.0572,,0.7794,0.6349,134.563,0.0,100.0,99.4,98.5,100.0,68.4
해물파전,150.0,267.2312,27.6762,0.0,12.5674,12.9352,111.796,356.4263,530.4876,,6.8689,1.3558,96.8392,0.0,100.0,100.0,100.0,100.0,95.1
동그랑땡,150.0,312.4125,14.706,0.0,18.723,19.674,74.16,579.81,373.6875,,1.9965,2.1,184.275,0.0,100.0,100.0,90.8,100.0,82.9
햄부침,100.0,232.598,9.733,0.0,15.481,13.067,7.383,774.678,191.619,2.35,0.724,0.885,52.15,0.0,100.0,91.6,100.0,100.0,65.3
육전,100.0,197.098,6.724,0.299,9.514,19.582,13.139,248.684,338.324,3.4,1.964,3.561,91.5,0.0,100.0,100.0,100.0,100.0,85.1
감자전,200.0,366.1585,53.8118,0.0,13.6135,9.6691,15.2,456.5301,1343.6515,,1.9456,1.4896,0.0,0.0,98.5,100.0,100.0,100.0,75.8
고추전,150.0,261.4425,17.7765,0.747,14.8605,13.938,31.3875,359.8845,415.815,,1.8255,2.295,160.65,0.0,100.0,100.0,95.0,100.0,79.1
김치전,150.0,285.728,32.0688,0.0,12.4784,13.1728,83.952,785.6,529.6,,2.4656,1.9344,136.0,0.0,100.0,99.3,97.9,100.0,83.3
깻잎전,150.0,357.6225,16.6515,0.747,24.6405,18.297,107.6925,464.9355,503.925,,2.742,3.1635,171.375,0.0,100.0,100.0,88.5,100.0,91.1
녹두빈대떡,100.0,200.71,18.637,0.0,8.321,9.956,39.67,246.031,391.525,15.1,1.687,1.024,13.75,0.0,100.0,100.0,100.0,100.0,73.2
미나리전,150.0,215.8635,30.096,0.0,8.6325,6.087,39.09,235.647,598.8075,,3.237,0.645,28.5,0.0,100.0,100.0,100.0,100.0,83.1
배추전,150.0,241.008,32.512,0.0,10.4944,6.4096,95.904,355.976,618.44,,1.7616,1.2128,30.4,0.0,100.0,100.0,100.0,100.0,71.9
버섯전,150.0,239.6835,18.6075,0.747,12.93,11.934,38.043,307.923,291.021,,2.5425,1.4895,126.075,0.0,100.0,100.0,98.9,100.0,82.2
부추전,150.0,241.182,32.0115,0.0,9.5025,7.1415,30.765,255.1605,405.657,,2.4615,0.5175,7.125,0.0,100.0,100.0,100.0,100.0,76.5
야채전,100.0,194.94,24.971,0.0,8.78,4.946,31.17,322.923,436.235,20.51,1.301,0.624,23.75,0.0,100.0,100.0,100.0,100.0,66.5
파전,150.0,280.548,37.455,0.0,12.0375,7.7265,87.6,337.998,481.77,,1.9065,0.9,57.0,0.0,100.0,100.0,100.0,100.0,72.9
호박부침개,100.0,130.722,8.671,0.0,9.235,3.37,13.6,172.027,192.718,3.81,0.624,0.304,61.75,0.0,100.0,100.0,100.0,100.0,58.1
호박전,150.0,215.283,16.557,0.0,14.4195,6.5895,48.645,274.6305,669.087,,1.653,0.858,106.875,0.0,100.0,100.0,100.0,100.0,70.0
달걀말이,100.0,172.238,4.668,0.0,11.232,12.044,49.643,323.323,200.884,13.2,1.57,1.385,475.0,0.0,100.0,100.0,72.0,100.0,74.1
두부부침,100.0,134.88,4.288,0.0,8.755,9.922,131.042,199.833,119.91,1.46,1.644,1.07,0.0,0.0,100.0,100.0,100.0,100.0,72.3
두부전,150.0,253.89,8.078,0.0,18.025,18.655,227.92,500.528,186.62,,2.9218,1.9684,66.5,0.0,100.0,100.0,100.0,100.0,90.1
건새우볶음,20.0,69.1858,4.813,2.7026,2.2964,7.2218,259.682,193.088,105.6144,,0.6216,0.9282,74.4,0.0,100.0,100.0,100.0,100.0,61.5
낙지볶음,200.0,180.59,23.512,6.7,3.0,17.866,86.24,868.884,763.14,,2.5,3.024,135.2,0.0,100.0,100.0,98.8,100.0,88.8
멸치볶음,20.0,69.225,5.693,3.4331,2.0424,6.9704,138.086,274.096,204.094,,0.9286,0.2764,83.55,0.0,100.0,100.0,100.0,100.0,62.3
어묵볶음,150.0,281.5425,36.279,4.473,8.0835,18.0375,120.5925,1283.8275,459.18,,2.3235,1.3245,18.9,0.0,100.0,82.5,100.0,100.0,82.5
오징어볶음,200.0,243.696,27.42,9.28,6.842,20.432,94.336,1025.86,822.236,,2.878,2.478,198.0,0.0,100.0,93.4,91.6,100.0,92.0
오징어채볶음,20.0,55.7136,7.0046,1.3477,0.6852,5.394,6.232,240.964,50.886,,0.284,0.4128,50.05,0.0,100.0,100.0,100.0,100.0,56.3
주꾸미볶음,200.0,211.81,21.692,6.7,6.11,20.156,88.04,969.884,699.04,,3.67,3.32,385.6,0.0,100.0,92.6,73.4,100.0,100.0
해물볶음,400.0,420.527,36.5332,7.657,15.3178,37.4832,148.979,1647.0188,1158.848,,14.839,4.2294,376.2,0.0,100.0,70.9,74.8,100.0,100.0
감자볶음,50.0,57.803,8.23,0.498,2.5335,1.3435,10.63,219.935,254.6145,,0.3925,0.3005,0.0,0.0,100.0,100.0,100.0,100.0,54.9
김치볶음,200.0,189.97,21.828,8.964,12.134,5.288,116.21,1513.41,766.98,,2.12,1.272,0.0,0.0,93.9,79.6,100.0,100.0,73.3
깻잎나물볶음,200.0,212.392,17.328,0.2,16.372,8.032,670.52,1046.426,933.812,,5.578,1.402,5.2,0.0,100.0,97.8,100.0,100.0,92.8
느타리버섯볶음,150.0,133.3185,14.217,0.15,8.925,4.407,21.5865,625.251,530.394,,1.128,1.551,0.0,0.0,100.0,100.0,100.0,100.0,66.2
두부김치,250.0,292.42,13.84,0.0,21.315,19.1475,153.45,1033.85,740.55,,4.38,3.135,30.0,0.0,100.0,97.0,99.2,100.0,100.0
머위나물볶음,150.0,102.993,7.7055,0.0,7.953,4.3035,101.085,696.915,529.5375,,2.5605,0.4425,0.0,0.0,100.0,100.0,100.0,100.0,75.7
양송이버섯볶음,150.0,132.4215,10.554,0.0,9.7905,5.457,33.0165,520.1145,856.3845,,2.511,1.296,0.0,0.0,100.0,100.0,100.0,100.0,78.2
표고버섯볶음,150.0,143.595,14.2785,1.494,7.356,4.0095,31.77,563.5905,512.8575,,2.427,0.849,0.0,0.0,100.0,100.0,100.0,100.0,75.5
고추잡채,200.0,264.218,22.106,8.4462,12.706,12.862,54.824,850.308,561.56,,2.828,2.152,50.8,0.0,99.7,97.9,100.0,100.0,86.9
호박볶음,50.0,29.185,3.094,0.0,2.006,0.7705,10.3745,223.2785,135.054,,0.3745,0.169,0.0695,0.0,100.0,100.0,100.0,100.0,54.1
돼지고기볶음,200.0,353.132,15.33,4.75,20.936,25.746,32.862,1060.332,457.946,,3.94,4.538,84.0,0.0,100.0,87.9,100.0,100.0,100.0
돼지껍데기볶음,150.0,346.1445,22.7265,15.843,19.2285,22.3905,29.844,759.294,267.0645,,2.277,1.2405,95.4,0.0,95.1,94.1,100.0,100.0,84.4
소세지볶음,200.0,476.0403,28.8052,5.8301,33.2442,17.04,27.4562,1409.0486,495.9579,,2.4955,2.2156,56.2595,0.0,95.4,76.6,91.4,93.5,85.4
순대볶음,400.0,579.5559,70.9594,14.2912,25.6102,17.583,271.5366,1379.5474,1048.02,,8.1004,4.4314,189.9205,0.0,74.3,84.1,85.5,87.9,100.0
오리불고기,250.0,559.9316,24.4724,4.0749,34.2465,38.1608,66.0603,854.074,1004.8607,,5.8012,4.8399,124.8225,0.0,99.3,100.0,90.0,91.0,100.0
오삼불고기,200.0,356.936,21.462,7.424,20.238,23.348,77.916,870.4,634.996,,2.206,2.782,164.3,0.0,100.0,97.8,92.9,100.0,88.4
떡볶이,200.0,300.76,58.854,5.704,2.96,8.718,72.03,862.23,251.44,,1.57,1.106,6.0,0.0,94.9,91.3,100.0,100.0,71.0
라볶이,200.0,266.03,41.134,6.356,9.588,7.96,43.562,836.238,276.68,,1.726,0.588,6.9,0.0,100.0,92.0,100.0,100.0,70.7
마파두부,200.0,226.9151,10.9858,0.5681,12.0137,16.853,153.4288,647.4516,332.8401,,3.078,2.2705,19.152,0.0,100.0,100.0,100.0,100.0,91.4
