food_name,serving_weight_g,energy_kcal,carbohydrate_g,sugar_g,fat_g,protein_g,calcium_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,trans_fat_g,dm_score,htn_score,dl_score,obe_score,anem_score
고구마줄기나물,50.0,30.439,2.9685,0.0,2.2385,0.6285,28.194,255.7095,73.7735,,0.9105,0.1795,0.0,0.0,100.0,100.0,100.0,100.0,58.8
우거지나물무침,150.0,126.114,10.2825,1.4985,8.661,5.076,512.9985,774.5475,94.1145,,21.903,0.4455,0.0,0.0,100.0,94.1,100.0,100.0,88.7
골뱅이무침,100.0,107.348,15.558,6.06,2.298,7.905,40.48,515.92,346.35,4.94,1.441,0.875,45.56,0.0,100.0,100.0,100.0,100.0,69.1
김무침,30.0,81.0114,12.1881,6.9321,4.1247,4.7094,45.435,498.6339,413.5659,,2.1609,0.5748,0.0,0.0,99.3,100.0,100.0,100.0,72.8
미역초무침,50.0,24.936,5.6985,3.996,0.54,1.0715,47.268,285.8,236.752,,0.403,0.118,0.0,0.0,100.0,100.0,100.0,100.0,54.4
북어채무침,150.0,332.052,31.332,18.0246,5.803,37.366,245.105,1048.53,782.642,,2.576,0.8862,108.57,0.0,93.7,97.5,100.0,100.0,89.9
회무침,300.0,311.5872,42.8792,26.412,4.2563,27.1777,200.0957,1253.2525,955.8385,,4.3772,1.6802,61.38,0.0,83.6,90.7,100.0,99.7,100.0
쥐치채,20.0,53.387,10.1772,6.6036,0.198,2.7684,14.289,289.4502,78.511,,0.299,0.1222,5.928,0.0,99.1,100.0,100.0,100.0,54.3
파래무침,30.0,31.5855,5.4291,0.8991,0.6897,2.3397,64.5375,252.045,74.493,,1.7079,0.147,0.0,0.0,100.0,100.0,100.0,100.0,66.5
홍어무침,200.0,193.138,24.898,9.434,2.274,21.64,337.432,817.424,842.66,,3.474,1.26,79.2,0.0,100.0,100.0,100.0,100.0,94.6
골뱅이국수무침,230.0,256.4163,39.6333,0.0,7.0146,10.5246,97.5753,911.7441,492.5772,,2.8431,1.2285,39.9789,0.0,100.0,95.4,100.0,100.0,83.4
오징어무침,200.0,249.525,13.5522,0.0,4.1904,38.6676,78.579,682.389,660.141,,1.8594,3.4038,430.92,0.0,100.0,100.0,75.0,100.0,89.3
잡채,150.0,198.8235,37.4745,2.988,4.701,2.5935,50.133,664.7505,294.12,,2.907,0.483,14.25,0.0,100.0,98.5,100.0,100.0,78.0
탕평채,100.0,101.194,10.196,6.993,3.113,3.529,38.802,247.419,269.971,6.26,1.234,0.821,4.95,0.0,99.2,100.0,100.0,100.0,65.1
갓김치,50.0,27.6355,5.2115,0.4235,0.7015,1.9825,83.1885,447.774,222.8085,,1.3185,0.4815,3.507,0.0,100.0,100.0,100.0,100.0,63.8
고들빼기,50.0,55.3875,11.994,0.0,0.564,2.206,37.3815,733.749,177.8415,,1.8045,0.373,0.545,0.0,100.0,93.3,100.0,100.0,67.9
깍두기,50.0,17.988,3.945,0.05,0.227,0.9975,19.159,338.876,148.046,,0.5565,0.144,4.065,0.0,100.0,100.0,100.0,100.0,55.8
깻잎김치,150.0,124.4925,23.2665,2.988,3.1605,6.096,131.9925,1907.6415,752.0925,,3.009,1.269,29.661,0.0,96.6,66.5,100.0,100.0,79.8
나박김치,100.0,14.746,2.255,0.01,0.42,0.63,12.544,509.472,77.831,0.026,0.357,0.077,0.0,0.0,100.0,98.2,100.0,100.0,53.6
동치미,400.0,57.692,14.26,0.0,0.64,2.696,43.02,2313.584,438.216,,1.388,0.292,0.0,0.0,95.7,55.5,100.0,100.0,59.6
배추겉절이,50.0,21.239,4.4845,0.996,0.503,0.9405,21.8445,325.406,182.3595,,0.476,0.31,1.34,0.0,100.0,100.0,100.0,100.0,55.5
배추김치,50.0,18.4315,4.155,0.498,0.2975,1.145,35.845,309.5255,207.1355,,0.634,0.322,3.4065,0.0,100.0,100.0,100.0,100.0,57.0
백김치,50.0,19.8035,4.3755,0.0,0.2645,0.798,22.878,211.718,153.4155,,0.432,0.244,0.0415,0.0,100.0,100.0,100.0,100.0,54.8
부추김치,50.0,32.9105,6.2875,3.486,0.5695,1.875,13.9275,399.378,228.6625,,1.2785,0.189,0.0,0.0,100.0,100.0,100.0,100.0,62.6
열무김치,50.0,16.285,3.1555,1.195,0.3485,1.343,64.553,308.349,411.845,,1.3915,0.131,0.0,0.0,100.0,100.0,100.0,100.0,63.2
열무얼갈이김치,50.0,16.57,3.0255,0.0,0.4035,1.269,47.906,344.201,176.996,,0.84,0.205,4.198,0.0,100.0,100.0,100.0,100.0,58.5
오이소박이,50.0,16.6675,2.9565,1.195,0.532,0.9425,22.3365,276.1935,184.8785,,0.5355,0.1935,1.452,0.0,100.0,100.0,100.0,100.0,55.7
총각김치,50.0,17.5645,3.436,0.0,0.369,1.03,50.192,347.1705,168.107,,0.881,0.192,4.434,0.0,100.0,100.0,100.0,100.0,58.7
파김치,50.0,28.005,5.472,0.996,0.702,1.5545,46.634,395.865,179.119,,0.82,0.337,4.69,0.0,100.0,100.0,100.0,100.0,58.9
간장게장,250.0,292.7025,13.885,0.1702,2.0875,32.665,267.1175,3075.5325,1137.6925,,7.55,8.41,223.125,0.0,100.0,61.9,90.2,100.0,100.0
마늘쫑장아찌,50.0,28.2695,6.1875,2.3475,0.13,1.045,8.3905,778.6005,105.688,,0.33,0.341,0.0,0.0,100.0,89.5,100.0,100.0,54.3
고추장아찌,30.0,22.356,4.1814,2.997,0.0882,0.8034,4.752,787.299,83.334,,0.2184,0.1437,0.0,0.0,100.0,88.6,100.0,100.0,52.7
깻잎장아찌,30.0,33.6351,7.8723,2.7817,0.3576,2.1138,84.1689,568.7526,220.7874,,1.0065,0.4329,0.627,0.0,100.0,100.0,100.0,100.0,61.0
마늘장아찌,30.0,16.0554,3.0663,0.2997,0.0204,0.7872,1.7421,481.749,64.2693,,0.1221,0.1293,0.0,0.0,100.0,98.6,100.0,100.0,51.8
무장아찌,30.0,27.3372,5.3146,3.2967,0.2607,0.5669,15.6215,933.2822,106.0184,,0.3208,0.1521,0.0,0.0,99.5,84.3,100.0,100.0,53.5
양념게장,200.0,275.554,46.33,26.52,2.058,20.41,165.872,1747.844,792.52,,5.252,5.228,134.4,0.0,78.6,72.0,97.6,97.4,100.0
양파장아찌,50.0,19.715,3.5385,1.4985,0.05,0.577,5.05,423.605,63.335,,0.179,0.127,0.0,0.0,100.0,100.0,100.0,100.0,52.2
오이지,50.0,11.44,2.392,0.0,0.312,1.144,30.22,925.9975,328.1925,,0.6295,0.315,0.0,0.0,99.7,89.7,100.0,100.0,56.9
무피클,50.0,17.0,4.192,1.992,0.052,0.404,13.08,6.6,108.32,,0.352,0.1515,0.0,0.0,100.0,100.0,100.0,100.0,53.7
오이피클,50.0,54.0,14.642,1.992,0.152,0.304,15.08,333.6,27.32,,0.502,0.0515,0.0,0.0,100.0,100.0,100.0,100.0,54.7
단무지,30.0,3.9042,0.6641,0.2299,0.1632,0.1129,5.1963,173.5504,16.0789,,0.0936,0.0362,0.0,0.0,100.0,100.0,100.0,100.0,51.0
오징어젓갈,10.0,6.826,0.2936,0.0,0.0977,1.2384,2.396,179.109,27.041,2.066,0.066,0.1097,13.68,0.0,100.0,100.0,100.0,100.0,51.6
명란젓,10.0,12.0,0.27,0.0,0.3,2.05,2.8,353.1,41.0,0.0,0.12,0.195,35.0,0.0,100.0,100.0,100.0,100.0,52.6
생연어,100.0,110.29,1.002,0.0,1.938,20.908,26.91,213.06,349.6,0.8,1.255,0.562,60.0,0.0,100.0,100.0,100.0,100.0,73.0
생선물회,800.0,575.0052,81.4548,29.3748,14.1288,36.7668,267.8508,2986.2336,1560.1824,,8.1732,2.8896,0.756,0.0,57.6,65.0,100.0,87.3,100.0
광어회,100.0,116.2,9.34,5.46,1.36,17.2,46.6,754.4,382.0,0.0,1.54,0.402,74.96,0.0,100.0,97.2,100.0,100.0,73.1
훈제연어,100.0,169.0,9.34,5.46,6.16,19.28,20.2,1260.8,218.8,0.0,0.9,0.61,141.6,0.0,100.0,74.6,98.2,100.0,68.9
육회,150.0,236.556,15.9465,7.0425,8.049,25.032,45.8115,433.4235,608.349,,3.048,4.7715,57.75,0.0,100.0,100.0,100.0,100.0,97.2
육사시미,150.0,203.55,6.96,4.095,6.075,29.28,30.15,888.03,541.8,0.0,7.947,3.6414,63.45,0.0,100.0,95.6,100.0,100.0,100.0
가래떡,100.0,205.042,45.045,0.0,0.325,3.52,2.46,254.681,90.528,0.0,0.221,0.826,0.0,0.0,100.0,100.0,100.0,100.0,55.9
경단,100.0,303.79,67.042,0.0,0.538,6.584,17.87,186.364,99.273,0.0,1.573,1.4,0.0,0.0,91.6,100.0,100.0,100.0,70.8
꿀떡,100.0,225.916,50.356,9.5805,0.761,3.236,7.104,251.339,83.74,0.1,0.3,0.778,0.0,0.0,93.8,100.0,100.0,100.0,56.3
시루떡,100.0,223.62,49.029,5.994,0.275,5.5,16.63,278.948,212.643,0.0,1.11,1.35,0.0,0.0,98.6,100.0,100.0,100.0,66.1
메밀전병,100.0,166.141,24.821,0.0,5.496,5.792,37.041,340.662,274.485,69.819,1.409,0.973,0.0,0.0,100.0,100.0,100.0,100.0,71.3
찰떡,100.0,216.185,44.876,5.495,1.24,5.807,15.185,236.819,151.4,9.89,1.612,1.51,0.0,0.0,100.0,100.0,100.0,100.0,71.5
무지개떡,100.0,218.18,48.698,6.993,0.865,4.004,26.73,277.709,115.005,0.0,0.476,1.015,0.0,0.0,97.4,100.0,100.0,100.0,58.9
백설기,100.0,218.82,48.195,11.988,0.792,4.044,10.82,296.946,96.9,4.2,0.548,0.752,0.0,0.0,92.8,100.0,100.0,100.0,59.0
송편,100.0,234.899,46.821,1.5163,2.698,4.17,45.979,236.545,67.894,19.97,1.132,0.574,0.0,0.0,100.0,100.0,100.0,100.0,64.5
수수부꾸미,100.0,258.99,46.151,2.997,5.668,5.498,6.37,270.036,162.45,0.0,1.051,1.33,0.0,0.0,100.0,100.0,100.0,100.0,65.5
수수팥떡,100.0,212.73,45.17,0.999,0.678,5.98,7.49,236.379,182.035,0.0,1.125,1.404,0.0,0.0,100.0,100.0,100.0,100.0,66.6
쑥떡,100.0,238.06,54.64,9.99,0.45,4.531,65.2,256.148,343.623,17.5,1.593,0.553,0.0,0.0,92.5,100.0,100.0,100.0,68.6
약식,100.0,232.213,48.882,7.992,2.27,3.827,12.885,290.644,142.123,12.105,2.533,1.304,0.159,0.0,96.7,100.0,100.0,100.0,78.2
인절미,100.0,214.46,42.554,0.0,1.764,6.401,15.035,337.74,232.64,11.27,1.86,1.587,0.0,0.0,100.0,100.0,100.0,100.0,74.3
절편,100.0,197.812,44.074,4.995,0.35,3.06,2.503,266.77,79.458,0.0,0.217,0.718,0.0,0.0,100.0,100.0,100.0,100.0,55.3
증편,100.0,198.693,44.216,15.984,0.342,2.536,6.836,259.038,61.003,0.0,0.234,0.564,0.0,0.0,89.7,100.0,100.0,97.4,54.8
찹쌀떡,100.0,264.74,62.076,13.986,0.231,3.409,15.68,226.381,86.783,7.705,1.455,1.13,0.0,0.0,84.4,100.0,100.0,98.9,67.8
매작과,30.0,121.4775,19.0629,0.0,3.5703,2.5542,3.324,31.0458,42.3855,,0.4281,0.1284,0.0,0.0,100.0,100.0,100.0,100.0,55.4
다식,30.0,105.1665,20.8107,6.4557,1.7286,3.5463,1.4274,3.849,206.7144,,0.5175,0.0411,0.0,0.0,99.5,100.0,100.0,100.0,56.4
약과,30.0,113.8494,22.1832,2.1519,1.2387,2.574,4.449,16.4598,59.4219,,0.5661,0.1431,0.0,0.0,100.0,100.0,100.0,100.0,56.6
유과,30.0,129.06,24.1365,1.1209,3.504,0.3609,1.2084,7.0554,0.0285,,0.24,0.1968,0.0,0.0,100.0,100.0,100.0,100.0,52.8
산자,30.0,121.6985,24.702,10.6328,1.1966,0.9103,2.0016,8.0126,60.9266,,0.4053,0.2719,0.0,0.0,94.6,100.0,100.0,99.9,54.7
깨강정,30.0,150.3,13.62,0.0,9.87,4.5,156.0,24.3,67.5,0.0,1.38,2.13,0.0,0.0,100.0,100.0,100.0,100.0,70.0
