number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
27,0.5366336633663367,2026-05-15 16:57:56.426412,2026-05-15 16:57:58.127675,0 days 00:00:01.701263,0.6448450201170167,0.07138939674576213,4,39,813,36,0.8092762425335316,0.5,0.0717,0.8469,0.6445,0.8065,COMPLETE
28,0.544727636181909,2026-05-15 16:57:58.127914,2026-05-15 16:58:00.159187,0 days 00:00:02.031273,0.6543570171176407,0.09986504317167955,5,22,989,25,0.7438845246147453,0.51,0.0294,0.8533,0.6517,0.811,COMPLETE
29,0.5347222222222222,2026-05-15 16:58:00.159436,2026-05-15 16:58:02.341967,0 days 00:00:02.182531,0.6881161237473148,0.09821905193888376,6,22,993,25,0.7405114480881256,0.51,0.03,0.852,0.6417,0.8021,COMPLETE
30,0.5424575424575424,2026-05-15 16:58:02.342199,2026-05-15 16:58:04.158832,0 days 00:00:01.816633,0.8888476991117966,0.08140685946301703,5,17,795,22,0.6001048449218851,0.52,0.0295,0.8524,0.6491,0.808,COMPLETE
31,0.5318204242723237,2026-05-15 16:58:04.159069,2026-05-15 16:58:06.146957,0 days 00:00:01.987888,0.9148524046668853,0.08254009355757977,5,17,714,23,0.6743396471932386,0.51,0.0314,0.8493,0.6396,0.8021,COMPLETE
32,0.5436207766011094,2026-05-15 16:58:06.147199,2026-05-15 16:58:07.759332,0 days 00:00:01.612133,0.8879555046241846,0.07096872291469898,4,14,808,16,0.6095893187043091,0.53,0.0372,0.8547,0.648,0.8021,COMPLETE
33,0.5346778160354156,2026-05-15 16:58:07.759563,2026-05-15 16:58:09.351785,0 days 00:00:01.592222,0.874595614745533,0.08745986568739829,6,15,951,16,0.6070480441080871,0.51,0.0232,0.851,0.6438,0.8088,COMPLETE
34,0.5337604731394776,2026-05-15 16:58:09.352026,2026-05-15 16:58:11.675018,0 days 00:00:02.322992,0.8667189059453702,0.05978937778634458,5,20,795,22,0.6027468438014822,0.51,0.029,0.8521,0.6422,0.8058,COMPLETE
35,0.532258064516129,2026-05-15 16:58:11.675238,2026-05-15 16:58:13.482169,0 days 00:00:01.806931,0.9253232335874291,0.09894408625465896,5,14,891,28,0.6933620834907279,0.51,0.0368,0.8493,0.6425,0.8103,COMPLETE
36,0.5377358490566038,2026-05-15 16:58:13.482411,2026-05-15 16:58:14.924827,0 days 00:00:01.442416,0.8349960112679666,0.07816471101405023,4,24,570,16,0.6438191547840963,0.53,0.0308,0.854,0.645,0.8058,COMPLETE
