threshold,recall,precision,f1
0.3,0.9367559523809523,0.4611721611721612,0.6180657830142366
0.31,0.9352678571428571,0.4640088593576966,0.6202812731310141
0.32,0.9293154761904762,0.4656972408650261,0.6204669647292598
0.33,0.9285714285714286,0.4691729323308271,0.6233766233766234
0.34,0.9241071428571429,0.47242297451502474,0.62522023659703
0.35,0.9203869047619048,0.47613548883756734,0.6276002029426687
0.36,0.9144345238095238,0.47876899104012466,0.6284837637432882
0.37,0.9099702380952381,0.4828266877220687,0.6309001805519732
0.38,0.9055059523809523,0.48582834331337327,0.6323720446869316
0.39,0.9010416666666666,0.48909531502423265,0.6340314136125654
0.4,0.8928571428571429,0.4916018025399426,0.6340819022457067
0.41,0.8876488095238095,0.4974979149291076,0.6376269374665954
0.42,0.8831845238095238,0.5,0.6385153308230231
0.43,0.8787202380952381,0.5044852627082443,0.6409769335142469
0.44,0.8712797619047619,0.5080260303687636,0.6418196766237325
0.45,0.8668154761904762,0.5127640845070423,0.644358407079646
0.46,0.8623511904761905,0.5169491525423728,0.6464026770775237
0.47,0.8534226190476191,0.5201814058956916,0.6463792617638772
0.48,0.8459821428571429,0.5225183823529411,0.6460227272727272
0.49,0.8348214285714286,0.5257731958762887,0.6451983898792409
0.5,0.8288690476190477,0.5312350977587029,0.6474861958732927
0.51,0.8191964285714286,0.5355058365758755,0.6476470588235295
0.52,0.8110119047619048,0.5406746031746031,0.6488095238095238
0.53,0.8035714285714286,0.5465587044534413,0.6506024096385542
0.54,0.7879464285714286,0.5495588998443176,0.647508407214919
0.55,0.7752976190476191,0.5566239316239316,0.6480099502487562
0.56,0.7604166666666666,0.5590809628008753,0.6443883984867591
0.57,0.7477678571428571,0.5658783783783784,0.6442307692307693
0.58,0.7358630952380952,0.5713460427498556,0.6432520325203253
0.59,0.7217261904761905,0.5760095011876485,0.6406869220607662
0.6,0.7046130952380952,0.5806253832004905,0.6366386554621849
0.61,0.6964285714285714,0.5868338557993731,0.636951343994556
0.62,0.6808035714285714,0.5937702790395847,0.634315424610052
0.63,0.6711309523809523,0.5997340425531915,0.6334269662921348
0.64,0.6577380952380952,0.606726149622512,0.6312031417350946
0.65,0.640625,0.612375533428165,0.6261818181818182
0.66,0.6272321428571429,0.6184886280264124,0.6228297007757665
0.67,0.609375,0.6285495011511896,0.6188137514166981
0.68,0.5907738095238095,0.6403225806451613,0.6145510835913313
0.69,0.5714285714285714,0.6470092670598147,0.6068747530620309
0.7,0.546875,0.6539145907473309,0.5956239870340356
