feature,importance
BMI,392.8
나이,384.4
체중,292.8
키,275.0
고혈압가족력_모,115.8
음주량_enc,110.2
걷기일수,106.8
고혈압가족력_부,85.8
음주빈도_enc,79.0
고혈압가족력_형제,63.8
근력운동일수,59.4
당뇨가족력_형제,35.2
성별,29.0
당뇨가족력_부,21.8
당뇨가족력_모,18.6
고지혈증가족력_형제,15.4
고지혈증가족력_모,14.8
현재흡연,11.6
고지혈증가족력_부,10.0
과거음주_현재금주,7.8
