threshold,recall,precision,f1
0.3,0.5053929121725732,0.2572549019607843,0.340956340956341
0.31,0.49768875192604006,0.26048387096774195,0.3419798835362626
0.32,0.4930662557781202,0.26556016597510373,0.3451995685005394
0.33,0.4884437596302003,0.2721030042918455,0.34950385887541346
0.34,0.47919876733436056,0.2752212389380531,0.34963462619449126
0.35,0.4714946070878274,0.2779291553133515,0.3497142857142857
0.36,0.45454545454545453,0.27909176915799433,0.34583821805392734
0.37,0.4437596302003082,0.2820763956904995,0.3449101796407186
0.38,0.42989214175654855,0.2849846782431052,0.34275184275184273
0.39,0.41448382126348227,0.2914409534127844,0.3422391857506361
0.4,0.4052388289676425,0.29751131221719457,0.3431180691454664
0.41,0.37442218798151,0.2949029126213592,0.329938900203666
0.42,0.362095531587057,0.30051150895140666,0.3284416491963662
0.43,0.35285053929121724,0.3041168658698539,0.32667617689015693
0.44,0.3359013867488444,0.30446927374301674,0.3194139194139194
0.45,0.325115562403698,0.30447330447330445,0.3144560357675112
0.46,0.31124807395993837,0.3093415007656968,0.3102918586789555
0.47,0.2942989214175655,0.3070739549839228,0.3005507474429583
0.48,0.2773497688751926,0.3082191780821918,0.291970802919708
0.49,0.26810477657935283,0.3175182481751825,0.2907268170426065
0.5,0.2588597842835131,0.3230769230769231,0.2874251497005988
0.51,0.24345146379044685,0.324435318275154,0.27816901408450706
0.52,0.23112480739599384,0.33185840707964603,0.2724795640326976
0.53,0.2172573189522342,0.33176470588235296,0.26256983240223464
0.54,0.2110939907550077,0.33910891089108913,0.26020892687559355
0.55,0.1987673343605547,0.34308510638297873,0.25170731707317073
0.56,0.19106317411402157,0.3502824858757062,0.2472582253240279
0.57,0.1802773497688752,0.3577981651376147,0.23975409836065573
0.58,0.1679506933744222,0.3694915254237288,0.2309322033898305
0.59,0.16024653312788906,0.37142857142857144,0.2238966630785791
0.6,0.1510015408320493,0.37547892720306514,0.2153846153846154
0.61,0.14637904468412943,0.39094650205761317,0.21300448430493274
0.62,0.13713405238828968,0.40271493212669685,0.2045977011494253
0.63,0.12942989214175654,0.42,0.1978798586572438
0.64,0.12018489984591679,0.4126984126984127,0.18615751789976134
0.65,0.10631741140215717,0.42073170731707316,0.16974169741697417
0.66,0.0970724191063174,0.42567567567567566,0.15809284818067754
0.67,0.08320493066255778,0.4090909090909091,0.1382842509603073
0.68,0.07858243451463791,0.4214876033057851,0.13246753246753246
0.69,0.0724191063174114,0.41228070175438597,0.12319790301441677
0.7,0.06779661016949153,0.411214953271028,0.1164021164021164
