threshold,recall,precision,f1
0.3,0.9306625577812019,0.21750090025207058,0.3525977816695855
0.31,0.9291217257318952,0.22055596196049743,0.3564883239728052
0.32,0.9244992295839753,0.2223045572434235,0.35842293906810035
0.33,0.9167950693374423,0.2236842105263158,0.3596252644303415
0.34,0.9137134052388289,0.2256468797564688,0.36191638693927375
0.35,0.9106317411402157,0.22704571648098348,0.3634686346863469
0.36,0.9090909090909091,0.22957198443579765,0.3665734700217459
0.37,0.9075500770416025,0.23234714003944773,0.3699748743718593
0.38,0.9029275808936826,0.2343062774890044,0.37206349206349204
0.39,0.8998459167950693,0.23778501628664495,0.3761674718196457
0.4,0.8875192604006163,0.23980016652789343,0.3775811209439528
0.41,0.8782742681047766,0.241423125794155,0.3787375415282392
0.42,0.8674884437596302,0.24309153713298792,0.37976391231028667
0.43,0.8582434514637904,0.24559082892416226,0.38189921151868356
0.44,0.8505392912172574,0.24943515589697243,0.3857442348008386
0.45,0.8412942989214176,0.2541899441340782,0.39041830532713623
0.46,0.827426810477658,0.2584215591915303,0.39383938393839385
0.47,0.8181818181818182,0.26352357320099257,0.39864864864864863
0.48,0.8058551617873652,0.2690329218106996,0.40339375241033554
0.49,0.7765793528505393,0.26596306068601583,0.39622641509433965
0.5,0.7580893682588598,0.2701812191103789,0.39838056680161943
0.51,0.7442218798151001,0.27443181818181817,0.40099626400996263
0.52,0.7318952234206472,0.2825698988697204,0.40772532188841204
0.53,0.7103235747303543,0.2868699439950218,0.40868794326241137
0.54,0.6902927580893683,0.2895927601809955,0.4080145719489982
0.55,0.6795069337442219,0.297972972972973,0.41427900422733677
0.56,0.662557781201849,0.3067047075606277,0.41930765480253535
0.57,0.6240369799691834,0.31153846153846154,0.4155977424320164
0.58,0.6117103235747303,0.32041969330104925,0.4205508474576271
0.59,0.576271186440678,0.32550043516100957,0.41601779755283647
0.6,0.5485362095531587,0.3355325164938737,0.41637426900584795
0.61,0.5254237288135594,0.3490276356192426,0.4194341943419434
0.62,0.4884437596302003,0.3614595210946408,0.41546526867627787
0.63,0.45454545454545453,0.36600496277915634,0.4054982817869416
0.64,0.43605546995377503,0.3803763440860215,0.4063173007896626
0.65,0.39599383667180277,0.37961595273264404,0.38763197586727
0.66,0.3728813559322034,0.38412698412698415,0.3784206411258796
0.67,0.35130970724191063,0.4014084507042254,0.37469186524239934
0.68,0.3312788906009245,0.41505791505791506,0.3684661525278492
0.69,0.31124807395993837,0.42526315789473684,0.3594306049822064
0.7,0.2896764252696456,0.4382284382284382,0.34879406307977734
