fold,auc,recall,precision,f1,best_iter,scale_pos_weight
1,0.816935038645565,0.7307692307692307,0.2722063037249284,0.3966597077244259,57,6.4374
2,0.8161742887875079,0.7441860465116279,0.2782608695652174,0.4050632911392405,33,6.425
3,0.7918516812528789,0.7538461538461538,0.2670299727520436,0.39436619718309857,76,6.4393
4,0.8085812989405804,0.7692307692307693,0.27100271002710025,0.40080160320641284,42,6.4393
5,0.798912943344081,0.7923076923076923,0.26342710997442453,0.39539347408829173,64,6.4393
