feature,importance
BMI,147.6
나이,143.6
체중,80.2
키,59.0
당뇨가족력_모,44.2
당뇨가족력_부,36.0
당뇨가족력_형제,33.2
음주빈도_enc,25.6
걷기일수,21.6
음주량_enc,19.8
성별,12.8
현재흡연,11.6
근력운동일수,11.4
고혈압가족력_모,11.0
고지혈증가족력_형제,6.0
고혈압가족력_부,5.6
고지혈증가족력_모,4.2
고지혈증가족력_부,3.4
고혈압가족력_형제,2.2
과거음주_현재금주,1.2
