fold,auc,recall,precision,f1,best_iter,class_weight_pos
1,0.8158952889216046,0.7461538461538462,0.26216216216216215,0.388,49,6.4374
2,0.8212139757427395,0.875968992248062,0.25681818181818183,0.39718804920913886,15,6.425
3,0.8020221096269001,0.7615384615384615,0.26756756756756755,0.396,65,6.4393
4,0.8173192077383694,0.8076923076923077,0.26717557251908397,0.40152963671128106,60,6.4393
5,0.7994334408106863,0.8307692307692308,0.25471698113207547,0.3898916967509025,22,6.4393
