threshold,recall,precision,f1
0.3,0.9368258859784283,0.2139338494018297,0.34832426238900027
0.31,0.9337442218798151,0.2155049786628734,0.3501878069921988
0.32,0.9291217257318952,0.21690647482014389,0.35170603674540685
0.33,0.926040061633282,0.21894353369763206,0.3541543901001768
0.34,0.9244992295839753,0.2223045572434235,0.35842293906810035
0.35,0.9229583975346687,0.2252726588943212,0.36215235792019346
0.36,0.9152542372881356,0.2266310568485311,0.363302752293578
0.37,0.9121725731895224,0.22813102119460502,0.3649815043156597
0.38,0.9044684129429892,0.22822706065318818,0.36448307978888544
0.39,0.8983050847457628,0.23025276461295419,0.36655139893115374
0.4,0.8906009244992296,0.2314777733279936,0.36745073108709475
0.41,0.8859784283513097,0.2336448598130841,0.36977491961414793
0.42,0.8828967642526965,0.23638613861386137,0.3729254799869834
0.43,0.8736517719568567,0.2380352644836272,0.3741339491916859
0.44,0.8690292758089369,0.24040920716112532,0.37662771285475793
0.45,0.8582434514637904,0.24238468233246302,0.37801153715643027
0.46,0.8551617873651772,0.24876736889287315,0.3854166666666667
0.47,0.8443759630200308,0.2516069788797062,0.38769013088079235
0.48,0.8366718027734977,0.2549295774647887,0.3907880532565671
0.49,0.827426810477658,0.2590448625180897,0.39456282145481264
0.5,0.8043143297380585,0.2613920881321983,0.3945578231292517
0.51,0.7966101694915254,0.26594650205761317,0.3987659082144234
0.52,0.7812018489984591,0.27479674796747966,0.4065757818765036
0.53,0.7611710323574731,0.27830985915492956,0.4075907590759076
0.54,0.7473035439137135,0.2871521610420367,0.41488451668092385
0.55,0.7395993836671803,0.292326431181486,0.41903099083369705
0.56,0.7272727272727273,0.2972292191435768,0.4219937416182387
0.57,0.7087827426810478,0.30045721750489873,0.42201834862385323
0.58,0.6795069337442219,0.31343283582089554,0.428988326848249
0.59,0.6533127889060092,0.32,0.42958459979736574
0.6,0.6302003081664098,0.32904263877715206,0.4323467230443975
0.61,0.5963020030816641,0.33887915936952717,0.4321608040201005
0.62,0.5562403697996918,0.3535749265426053,0.43233532934131735
0.63,0.5192604006163328,0.35548523206751054,0.42204132748904194
0.64,0.47303543913713403,0.3607520564042303,0.4093333333333333
0.65,0.4437596302003082,0.37402597402597404,0.4059196617336152
0.66,0.41602465331278893,0.38571428571428573,0.40029651593773163
0.67,0.3913713405238829,0.40253565768621236,0.396875
0.68,0.3667180277349769,0.4182776801405975,0.39080459770114945
0.69,0.3359013867488444,0.41603053435114506,0.37169650468883203
0.7,0.31432973805855163,0.42857142857142855,0.3626666666666667
