fold,auc,recall,precision,f1,best_iter,class_weight_pos
1,0.7841396648044693,0.784,0.4298245614035088,0.5552407932011332,259,2.8755
2,0.787047631868255,0.8714859437751004,0.40943396226415096,0.5571245186136072,16,2.8726
3,0.8196192591595433,0.8955823293172691,0.435546875,0.5860709592641261,66,2.8726
4,0.8071896524646069,0.8634538152610441,0.41505791505791506,0.560625814863103,72,2.8726
5,0.8143692086782885,0.8473895582329317,0.43415637860082307,0.5741496598639456,132,2.8726
