number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
27,,2026-05-15 17:04:40.928407,2026-05-15 17:04:42.721538,0 days 00:00:01.793131,0.6761523577616562,0.06722342160956334,5,33,881,36,0.8814357068591615,,,,,,PRUNED
28,,2026-05-15 17:04:42.721783,2026-05-15 17:04:47.152460,0 days 00:00:04.430677,0.7463276624902511,0.0232716695189807,7,45,640,43,0.8033426160080553,,,,,,PRUNED
29,0.43688065489013356,2026-05-15 17:04:47.152686,2026-05-15 17:04:48.618699,0 days 00:00:01.466013,0.7942991804362778,0.05010189623226327,3,17,512,48,0.8313427445305803,0.51,0.041,0.8019,0.5685,0.8138,COMPLETE
30,,2026-05-15 17:04:48.618930,2026-05-15 17:04:49.865637,0 days 00:00:01.246707,0.6985652241422421,0.07700379835358594,4,28,812,52,0.6001048449218851,,,,,,PRUNED
31,0.444297666226332,2026-05-15 17:04:49.865880,2026-05-15 17:04:51.570136,0 days 00:00:01.704256,0.770543246783457,0.0286695740214203,3,33,895,38,0.7431041743613677,0.51,0.0297,0.8004,0.5738,0.8098,COMPLETE
32,0.4411764705882353,2026-05-15 17:04:51.570367,2026-05-15 17:04:53.058952,0 days 00:00:01.488585,0.8372196021017496,0.03292001563619639,3,32,928,33,0.7406450020053825,0.52,0.0278,0.8034,0.5704,0.8066,COMPLETE
33,0.4404190309908337,2026-05-15 17:04:53.059181,2026-05-15 17:04:54.319792,0 days 00:00:01.260611,0.7799037503014432,0.04238202787981339,3,29,965,33,0.7285316438961214,0.52,0.0297,0.8029,0.5705,0.8098,COMPLETE
34,0.43915114768297964,2026-05-15 17:04:54.320037,2026-05-15 17:04:56.485456,0 days 00:00:02.165419,0.7431125084639127,0.03082037120183492,4,38,885,30,0.9650158340560726,0.47,0.0838,0.7919,0.5705,0.8138,COMPLETE
35,0.43826086956521737,2026-05-15 17:04:56.485696,2026-05-15 17:04:58.249615,0 days 00:00:01.763919,0.8868421704055204,0.02116373613202004,3,42,759,41,0.7007139166855242,0.52,0.024,0.8022,0.5685,0.809,COMPLETE
36,,2026-05-15 17:04:58.249846,2026-05-15 17:05:00.321930,0 days 00:00:02.072084,0.820605595980567,0.026441731567521762,5,25,832,35,0.7576218428724868,,,,,,PRUNED
37,0.4339216530348687,2026-05-15 17:05:00.322170,2026-05-15 17:05:04.393958,0 days 00:00:04.071788,0.7204920716014329,0.03787675685414163,7,41,700,55,0.8671197689574482,0.42,0.1913,0.7854,0.5649,0.809,COMPLETE
38,0.4354769097971515,2026-05-15 17:05:04.394281,2026-05-15 17:05:07.391405,0 days 00:00:02.997124,0.7902976592307797,0.016698374074195957,4,22,882,50,0.9248060499474775,0.46,0.1558,0.7885,0.5664,0.8098,COMPLETE
39,,2026-05-15 17:05:07.391646,2026-05-15 17:05:11.961907,0 days 00:00:04.570261,0.6515365840581839,0.022053724052684777,6,27,953,30,0.8264739369978705,,,,,,PRUNED
40,0.4457777777777778,2026-05-15 17:05:11.962157,2026-05-15 17:05:13.396666,0 days 00:00:01.434509,0.8222812923951972,0.027559360803297354,3,35,411,45,0.965983151067478,0.5,0.0677,0.7931,0.5738,0.805,COMPLETE
41,0.44188071397474965,2026-05-15 17:05:13.396906,2026-05-15 17:05:15.045625,0 days 00:00:01.648719,0.8151990587007691,0.027175073878445907,3,34,432,45,0.9695155509178103,0.49,0.0898,0.7917,0.573,0.8146,COMPLETE
42,0.4409310496267018,2026-05-15 17:05:15.045852,2026-05-15 17:05:16.553311,0 days 00:00:01.507459,0.8552110167659542,0.032061283059071306,3,30,376,44,0.906966092992918,0.52,0.03,0.8031,0.57,0.8058,COMPLETE
43,0.4413309982486865,2026-05-15 17:05:16.553556,2026-05-15 17:05:18.896816,0 days 00:00:02.343260,0.8339034185969658,0.017939837444432255,3,37,573,39,0.9563872344666982,0.52,0.0306,0.8026,0.5711,0.809,COMPLETE
44,0.4432624113475177,2026-05-15 17:05:18.897061,2026-05-15 17:05:20.543438,0 days 00:00:01.646377,0.8832997832590613,0.040581894282068924,4,47,213,47,0.6736504620755419,0.51,0.0269,0.7984,0.5711,0.8026,COMPLETE
45,,2026-05-15 17:05:20.543679,2026-05-15 17:05:21.878492,0 days 00:00:01.334813,0.8103287997230361,0.012769506483051033,3,44,311,41,0.9927416252585526,,,,,,PRUNED
46,0.43791136463361124,2026-05-15 17:05:21.878719,2026-05-15 17:05:23.756327,0 days 00:00:01.877608,0.7537425989020677,0.03453521663808304,4,35,421,51,0.9331202838817533,0.48,0.0656,0.7929,0.5662,0.801,COMPLETE
47,,2026-05-15 17:05:23.756596,2026-05-15 17:05:25.483352,0 days 00:00:01.726756,0.7845612177437581,0.013740773087756643,3,33,739,27,0.9726455460950567,,,,,,PRUNED
48,0.4462773071778868,2026-05-15 17:05:25.483596,2026-05-15 17:05:27.688045,0 days 00:00:02.204449,0.7285383029902532,0.02897743735006167,4,14,671,61,0.9120546534296722,0.48,0.0979,0.7917,0.5738,0.8034,COMPLETE
49,,2026-05-15 17:05:27.688287,2026-05-15 17:05:29.469963,0 days 00:00:01.781676,0.7157487866922998,0.05011400530896966,4,18,653,61,0.8959552978611407,,,,,,PRUNED
