threshold,recall,precision,f1
0.3,0.9462279293739968,0.377642536835362,0.5398351648351648
0.31,0.9446227929373997,0.37992253066494514,0.5418968692449355
0.32,0.9398073836276083,0.3823049298073784,0.5435135762357856
0.33,0.9373996789727127,0.38509726343554235,0.5459219443795279
0.34,0.9317817014446228,0.38648468708388817,0.5463529411764706
0.35,0.9293739967897271,0.3896366083445491,0.5490753911806543
0.36,0.9221508828250401,0.3917490623934538,0.5498923187365399
0.37,0.9181380417335474,0.39461883408071746,0.5519903498190591
0.38,0.913322632423756,0.3977630199231038,0.5541757974190407
0.39,0.9044943820224719,0.399645390070922,0.5543531726512543
0.4,0.8996789727126806,0.40367302844796543,0.5572955505841412
0.41,0.8932584269662921,0.40664961636828645,0.5588752196836555
0.42,0.8868378812199037,0.40820096047284815,0.5590690614722995
0.43,0.8812199036918138,0.4106207928197457,0.560204081632653
0.44,0.8739967897271268,0.41422594142259417,0.5620645161290323
0.45,0.8691813804173355,0.41718027734976887,0.5637688703800104
0.46,0.8643659711075441,0.42103205629397966,0.5662460567823344
0.47,0.8563402889245586,0.4237490071485306,0.5669500531349628
0.48,0.8507223113964687,0.42828282828282827,0.5697393173877989
0.49,0.8386837881219904,0.4348730753225135,0.5727596601808714
0.5,0.8242375601926164,0.44058344058344057,0.5742242102320381
0.51,0.804975922953451,0.4467706013363029,0.5746204525923804
0.52,0.7889245585874799,0.4507106831728565,0.5736796031514444
0.53,0.7728731942215088,0.4527503526093089,0.5710050400237178
0.54,0.7544141252006421,0.458984375,0.5707346690953249
0.55,0.7303370786516854,0.46738572162300973,0.5699968681490761
0.56,0.702247191011236,0.4732287723093564,0.5654281098546042
0.57,0.6861958266452648,0.47792062604807156,0.5634266886326195
0.58,0.6605136436597111,0.4852594339622642,0.5594833446634943
0.59,0.6396468699839486,0.49874843554443055,0.560478199718706
0.6,0.5995184590690209,0.5119945167923236,0.5523105360443623
0.61,0.5617977528089888,0.5098324836125273,0.5345551737304315
0.62,0.5409309791332263,0.5212683681361175,0.5309176841276093
0.63,0.514446227929374,0.5280065897858319,0.5211382113821138
0.64,0.4839486356340289,0.5417789757412399,0.5112335735481136
0.65,0.45425361155698235,0.5538160469667319,0.4991181657848324
0.66,0.41653290529695025,0.5586652314316469,0.4772413793103448
0.67,0.3884430176565008,0.5734597156398105,0.4631578947368421
0.68,0.3667736757624398,0.5806861499364676,0.44958189867191345
0.69,0.33547351524879615,0.579750346740638,0.4250127097102186
0.7,0.3041733547351525,0.5903426791277259,0.4014830508474576
