fold,auc,recall,precision,f1,best_iter,scale_pos_weight
1,0.7709776536312849,0.732,0.4255813953488372,0.538235294117647,67,2.8755
2,0.7942159700253528,0.7068273092369478,0.4656084656084656,0.5614035087719298,153,2.8726
3,0.8220704045231204,0.7831325301204819,0.47794117647058826,0.593607305936073,43,2.8726
4,0.7944992259540957,0.7228915662650602,0.43478260869565216,0.5429864253393665,47,2.8726
5,0.8106167687509815,0.7630522088353414,0.46116504854368934,0.5748865355521936,61,2.8726
