number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
27,0.517428700769579,2026-05-15 15:43:14.477989,2026-05-15 15:43:18.627877,0 days 00:00:04.149888,0.7595744962152974,0.04478487795910219,6,39,788,44,0.9149184289362499,0.45,0.0238,0.8524,0.6434,0.8504,COMPLETE
28,0.5131052865393159,2026-05-15 15:43:18.628132,2026-05-15 15:43:20.768238,0 days 00:00:02.140106,0.6261097852237434,0.0844252998150282,5,22,531,54,0.8733999407221116,0.45,0.0233,0.8525,0.6426,0.8594,COMPLETE
29,0.5168086060062752,2026-05-15 15:43:20.768471,2026-05-15 15:43:23.511688,0 days 00:00:02.743217,0.6723423154943177,0.0243206349576955,3,47,932,59,0.7405114480881256,0.48,0.0278,0.8567,0.645,0.8579,COMPLETE
30,0.5134408602150538,2026-05-15 15:43:23.511932,2026-05-15 15:43:26.144924,0 days 00:00:02.632992,0.7123321684695728,0.03830116877276402,4,36,901,49,0.7976456067991946,0.47,0.0335,0.8558,0.6409,0.8527,COMPLETE
31,0.5138764547896151,2026-05-15 15:43:26.145164,2026-05-15 15:43:30.183720,0 days 00:00:04.038556,0.6832155890981115,0.06691434763670448,7,33,473,55,0.6892726254813402,0.43,0.0165,0.8506,0.6417,0.8542,COMPLETE
32,0.5216007276034561,2026-05-15 15:43:30.183964,2026-05-15 15:43:34.683824,0 days 00:00:04.499860,0.6983566252490002,0.05752751419389062,7,31,376,51,0.730436850172667,0.44,0.0124,0.8516,0.6475,0.8534,COMPLETE
33,0.5099689853788214,2026-05-15 15:43:34.684065,2026-05-15 15:43:39.949910,0 days 00:00:05.265845,0.6253939450852901,0.04826375696090106,8,27,359,51,0.6498136615809129,0.41,0.0298,0.8431,0.6393,0.8564,COMPLETE
34,0.5168539325842697,2026-05-15 15:43:39.950138,2026-05-15 15:43:43.643809,0 days 00:00:03.693671,0.6640684435892096,0.05951448250168854,6,30,293,47,0.7307778441473035,0.44,0.0232,0.8517,0.6444,0.8557,COMPLETE
35,0.5140436914846188,2026-05-15 15:43:43.644061,2026-05-15 15:43:47.003001,0 days 00:00:03.358940,0.6232032505944682,0.07269732727814636,7,50,387,35,0.7021870721515262,0.43,0.0256,0.8471,0.6429,0.8579,COMPLETE
36,,2026-05-15 15:43:47.003245,2026-05-15 15:43:51.299388,0 days 00:00:04.296143,0.6974307779711008,0.03739255437770735,6,26,521,42,0.675692763336234,,,,,,PRUNED
