threshold,recall,precision,f1
0.3,0.9255952380952381,0.4715693707354056,0.6248116524359618
0.31,0.9174107142857143,0.4735023041474654,0.6246200607902735
0.32,0.9122023809523809,0.47704280155642026,0.6264690853346959
0.33,0.90625,0.48104265402843605,0.628482972136223
0.34,0.9040178571428571,0.48406374501992033,0.6305137519460301
0.35,0.8995535714285714,0.48789346246973364,0.6326530612244898
0.36,0.8950892857142857,0.49222585924713586,0.6351636747624076
0.37,0.8928571428571429,0.49586776859504134,0.6376195536663124
0.38,0.8876488095238095,0.49937212222687316,0.6391642110902759
0.39,0.8794642857142857,0.5034071550255537,0.6403033586132177
0.4,0.8764880952380952,0.5066666666666667,0.6421368220223495
0.41,0.8712797619047619,0.5104620749782041,0.6437603078614623
0.42,0.8645833333333334,0.5137046861184792,0.6444814198557959
0.43,0.8601190476190477,0.518850987432675,0.6472564389697648
0.44,0.8534226190476191,0.5216007276034561,0.6474738921817669
0.45,0.8407738095238095,0.5226641998149861,0.6446092413006275
0.46,0.8325892857142857,0.5258458646616542,0.6445852534562212
0.47,0.8229166666666666,0.5314752522825564,0.6458394160583941
0.48,0.8132440476190477,0.5347358121330724,0.6452184179456907
0.49,0.8110119047619048,0.5393369619000494,0.6478454680534919
0.5,0.7983630952380952,0.5427415275670208,0.646190906353508
0.51,0.7886904761904762,0.5461102524471921,0.6453576864535768
0.52,0.7775297619047619,0.5526176626123744,0.6460587326120556
0.53,0.7663690476190477,0.5561555075593952,0.6445556946182729
0.54,0.7604166666666666,0.5624656026417171,0.6466308130338501
0.55,0.7462797619047619,0.565707839819515,0.6435675328841836
0.56,0.7336309523809523,0.5696129404968227,0.6413008130081301
0.57,0.7165178571428571,0.5735556879094699,0.6371154482302349
0.58,0.6986607142857143,0.5810643564356436,0.6344594594594595
0.59,0.6770833333333334,0.5825864276568502,0.6262904335856848
0.6,0.6674107142857143,0.5889691398555482,0.6257411928845483
0.61,0.6547619047619048,0.5937921727395412,0.6227883934890305
0.62,0.640625,0.600418410041841,0.6198704103671706
0.63,0.6324404761904762,0.6088825214899714,0.6204379562043796
0.64,0.6212797619047619,0.6130690161527166,0.6171470805617147
0.65,0.6056547619047619,0.6166666666666667,0.6111111111111112
0.66,0.59375,0.624902114330462,0.6089278901182754
0.67,0.5721726190476191,0.6292962356792144,0.5993764614185503
0.68,0.5565476190476191,0.6404109589041096,0.5955414012738853
0.69,0.5386904761904762,0.6464285714285715,0.5876623376623377
0.7,0.5171130952380952,0.6575212866603595,0.5789254477301125
