feature,importance
BMI,608.6
체중,542.8
나이,521.6
키,512.2
걷기일수,202.6
음주량_enc,179.2
음주빈도_enc,155.6
고혈압가족력_모,139.2
고혈압가족력_부,98.0
근력운동일수,95.8
고혈압가족력_형제,64.8
직업_무직,57.8
성별,52.0
당뇨가족력_형제,34.8
직업_관리전문,28.6
당뇨가족력_모,27.2
당뇨가족력_부,26.8
직업_주부학생,24.2
직업_서비스판매,18.4
고지혈증가족력_모,15.6
고지혈증가족력_부,15.0
직업_기능노무,15.0
직업_사무,14.2
고지혈증가족력_형제,13.2
직업_농림어업,11.0
직업_작업미상,9.0
현재흡연,8.8
과거음주_현재금주,7.2
