feature,importance
나이,47.98759469805946
BMI,14.642284422097507
걷기일수,4.095669503268767
음주량_enc,3.7740427155990157
키,3.6588793665427177
체중,3.5520651218422055
고지혈증가족력_형제,2.926556867516079
고지혈증가족력_모,2.9240260100825566
음주빈도_enc,2.689423138139672
근력운동일수,2.6159867963434276
고혈압가족력_형제,1.4682924690080605
성별,1.4606687750664313
고지혈증가족력_부,1.3285928386126464
직업_사무,1.3207503657500097
당뇨가족력_형제,1.129286487492092
직업_주부학생,1.0213170438235954
고혈압가족력_모,0.8277372187595177
직업_관리전문,0.7016924255365289
당뇨가족력_모,0.3835970755027291
현재흡연,0.3440521508103723
고혈압가족력_부,0.3216716066563728
직업_서비스판매,0.2773973236625291
과거음주_현재금주,0.1995039836714882
당뇨가족력_부,0.1698004648465337
직업_기능노무,0.131764585646632
직업_작업미상,0.04734654566304168
직업_농림어업,0.0
직업_무직,0.0
