number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7713122395852009,2026-05-15 01:13:37.118031,2026-05-15 01:13:37.730136,0 days 00:00:00.612105,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7847463801894707,2026-05-15 01:13:37.730435,2026-05-15 01:13:38.319372,0 days 00:00:00.588937,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7919815549228706,2026-05-15 01:13:38.319624,2026-05-15 01:13:39.260328,0 days 00:00:00.940704,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7816876671854045,2026-05-15 01:13:39.260573,2026-05-15 01:13:39.925096,0 days 00:00:00.664523,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.7868076821021076,2026-05-15 01:13:39.925335,2026-05-15 01:13:41.030681,0 days 00:00:01.105346,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.7976753609053292,2026-05-15 01:13:41.030912,2026-05-15 01:13:41.966153,0 days 00:00:00.935241,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.7928083562223449,2026-05-15 01:13:41.966395,2026-05-15 01:13:42.395151,0 days 00:00:00.428756,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7849416599135117,2026-05-15 01:13:42.395374,2026-05-15 01:13:43.210903,0 days 00:00:00.815529,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.7924764595778859,2026-05-15 01:13:43.211128,2026-05-15 01:13:44.292694,0 days 00:00:01.081566,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.7791856770964063,2026-05-15 01:13:44.292916,2026-05-15 01:13:44.999937,0 days 00:00:00.707021,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
