fold,auc,f1,recall,best_iter
1,0.8074631141670248,0.5638179800221975,0.8141025641025641,182
2,0.7932513250250681,0.567032967032967,0.8269230769230769,142
3,0.8035775676837129,0.5739130434782609,0.8461538461538461,217
4,0.81763997916255,0.5770065075921909,0.8553054662379421,105
5,0.7930446029208356,0.5573033707865168,0.797427652733119,119
