iter	Logloss
0	0.6805714702
1	0.6704130845
2	0.6621403489
3	0.6552723204
4	0.6496082988
5	0.6447776678
6	0.6407503582
7	0.637423389
8	0.6347384253
9	0.6325445251
10	0.6305177818
11	0.6288698879
12	0.6274914322
13	0.6263695487
14	0.6253763623
15	0.6245430233
16	0.623832282
17	0.6232151559
18	0.6227212133
19	0.6222790261
20	0.6218871769
21	0.6215267048
22	0.6212309249
23	0.6209847619
24	0.6207658296
25	0.6205554934
26	0.6203691001
27	0.6202120014
28	0.6200709316
29	0.6199487313
30	0.6198265195
31	0.6197215074
32	0.6196213277
33	0.6195541305
34	0.6194537092
35	0.6193568947
36	0.6192814042
37	0.6192090691
38	0.6191343863
39	0.6190712648
40	0.6190139003
41	0.6189549888
42	0.6189000444
43	0.6188446032
44	0.6188088147
45	0.6187725693
46	0.6187291675
47	0.6186849404
48	0.6186424745
49	0.6186133384
50	0.6185628412
51	0.6185273988
52	0.6184855402
53	0.6184525212
54	0.6184216695
55	0.618386596
56	0.6183552519
57	0.6183318149
58	0.6182937955
59	0.6182640949
60	0.6182384931
61	0.6182039771
62	0.6181675261
63	0.6181312961
64	0.6180889969
65	0.6180645604
66	0.6180278869
67	0.6180070933
68	0.6179768417
69	0.617943957
70	0.6178959288
71	0.6178641618
72	0.6178394829
73	0.6178129641
74	0.6177779994
75	0.6177565964
76	0.6177308206
77	0.6177034834
78	0.6176681005
79	0.6176382871
80	0.617615842
81	0.617579951
82	0.6175582109
83	0.6175380753
84	0.6175105965
85	0.6174776021
86	0.6174422101
87	0.6174253012
88	0.6174049271
89	0.6173856737
90	0.6173714397
91	0.6173493638
92	0.6173325862
93	0.6173077483
94	0.6172780654
95	0.6172429463
96	0.617218053
97	0.6171986425
98	0.6171690936
99	0.6171608254
100	0.6171338576
101	0.6170993232
102	0.6170731882
103	0.6170576755
104	0.617044271
105	0.6170062002
106	0.6169724702
107	0.6169448717
108	0.6169161647
109	0.6168712906
110	0.6168377694
111	0.6167983202
112	0.6167692879
113	0.6167476238
114	0.6167109701
115	0.6166888435
116	0.616661217
117	0.6166468906
118	0.6166129544
119	0.616587317
120	0.6165779174
121	0.6165631257
122	0.616549233
123	0.6165234488
124	0.6164981754
125	0.6164760061
126	0.6164544016
127	0.616441458
128	0.6164198098
129	0.6164005994
130	0.6163938474
131	0.6163697891
132	0.6163458112
133	0.6163238505
134	0.6163032948
135	0.6162844092
136	0.6162672109
137	0.6162313439
138	0.616213551
139	0.6161985724
140	0.6161825609
141	0.6161650178
142	0.6161482536
143	0.6161242873
144	0.6160960197
145	0.6160698545
146	0.6160492819
147	0.616028146
148	0.6160069095
149	0.6159944394
150	0.615970371
151	0.6159458119
152	0.6159218079
153	0.6159020637
154	0.6158822155
155	0.6158541423
156	0.6158303354
157	0.6158136589
158	0.6158021338
159	0.6157841061
160	0.6157615065
161	0.6157502606
162	0.6157238192
163	0.6157045635
164	0.615673134
165	0.6156471523
166	0.615626354
167	0.6156077473
168	0.6155757276
169	0.6155527401
170	0.6155209602
171	0.6154927345
172	0.6154723137
173	0.6154519685
174	0.6154310312
175	0.6154097021
176	0.6153966783
177	0.615366004
178	0.6153428373
179	0.6153273865
180	0.6152989081
181	0.615268722
182	0.6152444341
183	0.6152347951
184	0.6152121163
185	0.6151932863
186	0.6151715116
187	0.615158903
188	0.6151380185
189	0.6151196752
190	0.6150948495
191	0.61506612
192	0.6150487776
193	0.615027642
194	0.6150065122
195	0.6149978416
196	0.6149817737
197	0.6149452243
198	0.6149168104
199	0.6149010271
200	0.6148773046
201	0.614841069
202	0.6148083022
203	0.6147846156
204	0.6147677916
205	0.6147518933
206	0.6147152194
207	0.6146864135
208	0.6146661308
209	0.6146394475
210	0.614624058
211	0.6146067267
212	0.6145948315
213	0.6145819738
214	0.6145613716
215	0.6145362664
216	0.6145132494
217	0.6144883422
218	0.6144680658
219	0.6144474087
220	0.6144215189
221	0.6144038532
222	0.6143814031
223	0.6143610133
224	0.6143393414
225	0.6143154353
226	0.6142916776
227	0.6142804866
228	0.6142611671
229	0.6142481818
230	0.6142208917
231	0.6142026274
232	0.6141910815
233	0.614165673
234	0.6141323759
235	0.6141212537
236	0.6141006816
237	0.614065347
238	0.614056481
239	0.6140367127
240	0.61401746
241	0.6139930128
242	0.6139699684
243	0.6139499395
244	0.6139203027
245	0.6139097122
246	0.6138890998
247	0.6138586988
248	0.6138309789
249	0.6138099406
250	0.6137871659
251	0.613758992
252	0.6137446642
253	0.6137146988
254	0.6137008526
255	0.6136907987
256	0.6136712522
257	0.6136564348
258	0.6136321451
259	0.6136070238
260	0.613578217
261	0.6135520528
262	0.6135340728
263	0.6135095078
264	0.6134830275
265	0.613461038
266	0.6134372751
267	0.6134179119
268	0.613394292
269	0.6133671009
270	0.6133565292
271	0.6133298152
272	0.6133010944
273	0.6132831129
274	0.6132630726
275	0.6132405583
276	0.6132143649
277	0.6131905612
278	0.6131791445
279	0.6131539564
280	0.6131409253
281	0.6131225356
282	0.6131084502
283	0.6130940415
284	0.6130769422
285	0.613049413
286	0.6130176649
287	0.6129997419
288	0.6129694001
289	0.6129473131
290	0.6129391406
291	0.6129152463
292	0.6128929692
293	0.6128686112
294	0.6128495743
295	0.612826488
296	0.6128076026
297	0.6127917762
298	0.6127754205
299	0.6127556345
300	0.6127324665
301	0.6127008062
302	0.6126827699
303	0.6126613837
304	0.6126410468
305	0.6126233856
306	0.6126002066
307	0.6125735747
308	0.612560216
309	0.6125446715
310	0.6125321273
311	0.6125210146
312	0.6124923747
313	0.6124793221
314	0.6124673649
315	0.6124493865
316	0.6124271729
317	0.6124147428
318	0.6123777051
319	0.6123626587
320	0.6123430975
321	0.6123243741
322	0.6123047191
323	0.6122826293
324	0.612270387
325	0.6122363984
326	0.6122073151
327	0.6121713605
328	0.6121543643
329	0.6121252064
330	0.6120990943
331	0.6120785711
332	0.6120615474
333	0.612048929
334	0.612029461
335	0.6120065787
336	0.6119965667
337	0.6119724745
338	0.6119400653
339	0.6119232104
340	0.611901289
341	0.6118907314
342	0.6118654241
343	0.6118566146
344	0.6118330025
345	0.6118139724
346	0.6117887342
347	0.6117678629
348	0.611741352
349	0.6117046408
350	0.6116818977
351	0.6116588729
352	0.6116378501
353	0.6116203085
354	0.6115936086
355	0.6115779088
356	0.6115482553
357	0.611534867
358	0.6115216733
359	0.6115050223
360	0.6114873354
361	0.6114721072
362	0.6114602729
363	0.6114426938
364	0.6114128612
365	0.6113946211
366	0.6113819532
367	0.6113637642
368	0.6113381644
369	0.6113140463
370	0.6113098773
371	0.6113002299
372	0.6112817492
373	0.6112615928
374	0.6112432662
375	0.611228876
376	0.6112161218
377	0.6111876397
378	0.6111641076
379	0.6111427647
380	0.6111244775
381	0.611102831
382	0.6110804824
383	0.6110631754
384	0.6110497439
385	0.6110392344
386	0.6110236437
387	0.6109900935
388	0.6109711931
389	0.6109565673
390	0.610938236
391	0.6109274703
392	0.6109186499
393	0.6108995698
394	0.6108827214
395	0.6108670528
396	0.6108482693
397	0.6108177464
398	0.6107961621
399	0.6107824138
400	0.6107690057
401	0.6107555873
402	0.6107406615
403	0.6107278194
404	0.6107125854
405	0.6106966906
406	0.6106775078
407	0.6106566126
408	0.6106407767
409	0.6106264261
410	0.610612972
411	0.6105889043
412	0.6105711775
413	0.6105521642
414	0.6105287427
415	0.6105072984
416	0.6104986817
417	0.6104864183
418	0.6104733408
419	0.6104558433
420	0.6104287664
421	0.6104044675
422	0.6103900362
423	0.6103654921
424	0.6103360251
