fold,auc,f1,recall,best_iter
1,0.8128778112018336,0.5701559020044543,0.8205128205128205,50
2,0.7941233347657928,0.5745375408052231,0.8461538461538461,8
3,0.8018783125626702,0.5644820295983086,0.8557692307692307,24
4,0.8156101241265337,0.5773874862788145,0.8456591639871383,29
5,0.7933499793421832,0.555431131019037,0.797427652733119,27
