threshold,recall,precision,f1
0.3,0.9306625577812019,0.2272385252069225,0.36528575748412456
0.31,0.9198767334360555,0.2276019824628288,0.36491442542787283
0.32,0.9152542372881356,0.2297872340425532,0.3673469387755102
0.33,0.9075500770416025,0.23016803438843297,0.3672069825436409
0.34,0.8998459167950693,0.2320222487087803,0.36891977258370184
0.35,0.8967642526964561,0.2341110217216412,0.3712918660287081
0.36,0.889060092449923,0.2352221769262128,0.3720180528691167
0.37,0.8859784283513097,0.23740710156895128,0.37447085639856725
0.38,0.8782742681047766,0.2396972245584525,0.37661050545094155
0.39,0.8690292758089369,0.24143835616438356,0.3778894472361809
0.4,0.8628659476117103,0.24379625598606877,0.3801765105227427
0.41,0.8567026194144838,0.2468916518650089,0.3833160978972768
0.42,0.8489984591679507,0.25,0.38626007711181215
0.43,0.8412942989214176,0.254071661237785,0.3902787705503931
0.44,0.8366718027734977,0.2582025677603424,0.3946220930232558
0.45,0.8289676425269645,0.26463354648303,0.40119313944817303
0.46,0.8135593220338984,0.2682926829268293,0.4035154757355751
0.47,0.802773497688752,0.2730607966457023,0.4075087993742667
0.48,0.7812018489984591,0.27435064935064934,0.40608730476571886
0.49,0.7580893682588598,0.2785956964892412,0.4074534161490683
0.5,0.7411402157164869,0.2821114369501466,0.4086661002548853
0.51,0.7211093990755008,0.28484479610468655,0.4083769633507853
0.52,0.7026194144838213,0.28769716088328073,0.40823634735899733
0.53,0.6949152542372882,0.2926670992861778,0.41187214611872147
0.54,0.6795069337442219,0.2977717758271438,0.4140845070422535
0.55,0.6640986132511556,0.3013986013986014,0.4146224146224146
0.56,0.6425269645608629,0.3034934497816594,0.4122590212555611
0.57,0.6240369799691834,0.30612244897959184,0.4107505070993915
0.58,0.6070878274268104,0.31146245059288535,0.4117032392894462
0.59,0.5855161787365177,0.3164029975020816,0.41081081081081083
0.6,0.5639445300462249,0.323036187113857,0.4107744107744108
0.61,0.5377503852080123,0.3378509196515005,0.4149821640903686
0.62,0.5161787365177196,0.3489583333333333,0.41640770665009325
0.63,0.48382126348228044,0.3572241183162685,0.4109947643979058
0.64,0.44992295839753466,0.35828220858895704,0.3989071038251366
0.65,0.4345146379044684,0.37105263157894736,0.40028388928317954
0.66,0.41448382126348227,0.38816738816738816,0.4008941877794337
0.67,0.39599383667180277,0.3984496124031008,0.3972179289026275
0.68,0.3605546995377504,0.40414507772020725,0.3811074918566775
0.69,0.33436055469953774,0.4165067178502879,0.37094017094017095
0.7,0.31278890600924497,0.42291666666666666,0.3596102745792737
