fold,auc,f1,recall,best_iter
1,0.8521489393690886,0.6434195725534309,0.8511904761904762,70
2,0.854457110054125,0.6334841628959276,0.8333333333333334,40
3,0.8785912470613962,0.693491124260355,0.8720238095238095,103
4,0.831694718117132,0.6048109965635738,0.7857142857142857,70
5,0.8815288040503557,0.6674528301886793,0.8422619047619048,94
