feature,importance
나이,212.2
BMI,134.8
키,76.4
체중,68.6
고지혈증가족력_모,38.4
고지혈증가족력_형제,34.2
고지혈증가족력_부,23.8
음주량_enc,21.0
고혈압가족력_형제,18.6
고혈압가족력_모,14.8
걷기일수,14.4
음주빈도_enc,13.8
당뇨가족력_형제,13.2
성별,10.4
당뇨가족력_모,9.2
직업_관리전문,7.2
고혈압가족력_부,7.0
직업_사무,7.0
과거음주_현재금주,6.8
직업_서비스판매,6.8
직업_기능노무,6.0
직업_주부학생,6.0
근력운동일수,4.8
현재흡연,4.2
당뇨가족력_부,3.2
직업_작업미상,3.2
직업_무직,0.8
직업_농림어업,0.2
