feature,importance
나이,34.42100278224089
BMI,11.971004162797811
체중,9.062640141075207
당뇨가족력_형제,4.605715120665925
당뇨가족력_모,4.538012271657041
음주빈도_enc,4.504949540960628
음주량_enc,4.287437965220403
당뇨가족력_부,4.094810986872977
근력운동일수,3.8785226570631197
걷기일수,3.690910750249113
키,3.508427977454479
직업_관리전문,2.7225302737739914
직업_사무,1.8463192278395435
성별,1.2319631006043272
고지혈증가족력_부,0.8585860805477584
고지혈증가족력_형제,0.7408513439881236
직업_무직,0.7296267521694642
고지혈증가족력_모,0.48868750312069004
직업_서비스판매,0.44021117081493527
직업_기능노무,0.4295354061633228
고혈압가족력_형제,0.4261378372054078
고혈압가족력_부,0.4082334859993476
고혈압가족력_모,0.31747170048216106
직업_주부학생,0.2597504829760328
현재흡연,0.23150574455712428
과거음주_현재금주,0.20221787878913225
직업_농림어업,0.08830874608185499
직업_작업미상,0.014628908629149036
