threshold,recall,precision,f1
0.3,0.9435002296738632,0.40337784760408485,0.565139634062457
0.31,0.93913642627469,0.40477133240942387,0.5657166574432761
0.32,0.9366100137804317,0.407555466719968,0.567966573816156
0.33,0.9313275149288011,0.4088938186951699,0.5682853338939108
0.34,0.927652733118971,0.41088504577822993,0.5695149464184998
0.35,0.9225999081304548,0.41335665774850794,0.5709209778283115
0.36,0.9177767570050528,0.41620664514113115,0.5726979577212469
0.37,0.9122645842903078,0.41881062842682415,0.5740713976008094
0.38,0.9060633899862196,0.4216996258685195,0.5755343205193668
0.39,0.9000918695452458,0.42500813360806855,0.5773848987108655
0.4,0.8936610013780432,0.42800571994280057,0.578802528821123
0.41,0.8856224161690399,0.4308379888268156,0.5796752856283824
0.42,0.8791915480018374,0.4342105263157895,0.5813211845102506
0.43,0.870463941203491,0.4377454377454377,0.5825391945896096
0.44,0.8615066605420303,0.44067199248120303,0.5830872065910151
0.45,0.854616444648599,0.4449892370246353,0.5852469329977981
0.46,0.8431327514928801,0.4488872584984104,0.5858601978933929
0.47,0.8327974276527331,0.4539877300613497,0.5876347135564379
0.48,0.8190169958658705,0.4577663671373556,0.5872859025032938
0.49,0.8047772163527791,0.4628797886393659,0.5877222408587722
0.5,0.7896187413872301,0.46642246642246643,0.5864392324093817
0.51,0.7760679834634818,0.47008903728436285,0.5855137757754288
0.52,0.7618282039503904,0.4748067563698826,0.5850088183421517
0.53,0.7464400551217272,0.4803428909252143,0.5845323741007195
0.54,0.7305925585668351,0.4849824668394572,0.5829744341610923
0.55,0.714745062011943,0.49092916863858654,0.5820630318900215
0.56,0.6945337620578779,0.4954940193347534,0.5783685569474993
0.57,0.6743224621038126,0.4995746128977369,0.5739419411592219
0.58,0.6527331189710611,0.5048854148161308,0.5693679254733046
0.59,0.6325218190169959,0.5109461966604824,0.5652709359605911
0.6,0.6063389986219568,0.5169375367143136,0.5580805411690096
0.61,0.579696830500689,0.5205196947824293,0.5485167880039118
0.62,0.5546623794212219,0.5277534965034965,0.5408734602463606
0.63,0.5303169499310978,0.533256351039261,0.5317825886688162
0.64,0.5064308681672026,0.5437731196054254,0.5244381020335355
0.65,0.48507119889756545,0.5553510386536945,0.5178374402353807
0.66,0.4579696830500689,0.5640735502121641,0.505514006844974
0.67,0.4294901240238861,0.5713412771157959,0.49036318342729773
0.68,0.40238860817638955,0.5812873258128732,0.4755700325732899
0.69,0.36701883325677537,0.585991932526586,0.45134867956503316
0.7,0.33578318787322003,0.5943089430894309,0.4291165248018785
